,일시,계절,공휴일,근무일,날씨,기온,체감기온,습도,풍속,비회원이용자수,회원이용자수,이용자수,연도,월,일,시각,요일
0,2011-01-01 00:00:00,봄,공휴일 아님,근무일 아님,좋음,9.84,14.395,81,0.0,3,13,16,2011,1,1,0,토
1,2011-01-01 01:00:00,봄,공휴일 아님,근무일 아님,좋음,9.02,13.635,80,0.0,8,32,40,2011,1,1,1,토
2,2011-01-01 02:00:00,봄,공휴일 아님,근무일 아님,좋음,9.02,13.635,80,0.0,5,27,32,2011,1,1,2,토
3,2011-01-01 03:00:00,봄,공휴일 아님,근무일 아님,좋음,9.84,14.395,75,0.0,3,10,13,2011,1,1,3,토
4,2011-01-01 04:00:00,봄,공휴일 아님,근무일 아님,좋음,9.84,14.395,75,0.0,0,1,1,2011,1,1,4,토
5,2011-01-01 05:00:00,봄,공휴일 아님,근무일 아님,약간 흐림,9.84,12.88,75,6.0032,0,1,1,2011,1,1,5,토
6,2011-01-01 06:00:00,봄,공휴일 아님,근무일 아님,좋음,9.02,13.635,80,0.0,2,0,2,2011,1,1,6,토
7,2011-01-01 07:00:00,봄,공휴일 아님,근무일 아님,좋음,8.2,12.88,86,0.0,1,2,3,2011,1,1,7,토
8,2011-01-01 08:00:00,봄,공휴일 아님,근무일 아님,좋음,9.84,14.395,75,0.0,1,7,8,2011,1,1,8,토
9,2011-01-01 09:00:00,봄,공휴일 아님,근무일 아님,좋음,13.12,17.425,76,0.0,8,6,14,2011,1,1,9,토
10,2011-01-01 10:00:00,봄,공휴일 아님,근무일 아님,좋음,15.58,19.695,76,16.9979,12,24,36,2011,1,1,10,토
11,2011-01-01 11:00:00,봄,공휴일 아님,근무일 아님,좋음,14.76,16.665,81,19.0012,26,30,56,2011,1,1,11,토
12,2011-01-01 12:00:00,봄,공휴일 아님,근무일 아님,좋음,17.22,21.21,77,19.0012,29,55,84,2011,1,1,12,토
13,2011-01-01 13:00:00,봄,공휴일 아님,근무일 아님,약간 흐림,18.86,22.725,72,19.9995,47,47,94,2011,1,1,13,토
14,2011-01-01 14:00:00,봄,공휴일 아님,근무일 아님,약간 흐림,18.86,22.725,72,19.0012,35,71,106,2011,1,1,14,토
15,2011-01-01 15:00:00,봄,공휴일 아님,근무일 아님,약간 흐림,18.04,21.97,77,19.9995,40,70,110,2011,1,1,15,토
16,2011-01-01 16:00:00,봄,공휴일 아님,근무일 아님,약간 흐림,17.22,21.21,82,19.9995,41,52,93,2011,1,1,16,토
17,2011-01-01 17:00:00,봄,공휴일 아님,근무일 아님,약간 흐림,18.04,21.97,82,19.0012,15,52,67,2011,1,1,17,토
18,2011-01-01 18:00:00,봄,공휴일 아님,근무일 아님,흐림,17.22,21.21,88,16.9979,9,26,35,2011,1,1,18,토
19,2011-01-01 19:00:00,봄,공휴일 아님,근무일 아님,흐림,17.22,21.21,88,16.9979,6,31,37,2011,1,1,19,토
20,2011-01-01 20:00:00,봄,공휴일 아님,근무일 아님,약간 흐림,16.4,20.455,87,16.9979,11,25,36,2011,1,1,20,토
21,2011-01-01 21:00:00,봄,공휴일 아님,근무일 아님,약간 흐림,16.4,20.455,87,12.998,3,31,34,2011,1,1,21,토
22,2011-01-01 22:00:00,봄,공휴일 아님,근무일 아님,약간 흐림,16.4,20.455,94,15.0013,11,17,28,2011,1,1,22,토
