,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일,구,면적
195245,2024-04-16,1415,8,1010,둔촌2동,둔촌2동,화,강동구,1.56
1206204,2024-04-19,1645,3,920,발산1동,우장산동,금,강서구,2.94
286778,2024-04-16,1850,13,83,광희동,광희동,화,중구,0.74
446097,2024-04-17,940,51,8848,동선동,삼선동,수,성북구,0.73
1071504,2024-04-19,815,6,1360,가양1동,가양1동,금,강서구,4.70
172228,2024-04-16,1205,11,1260,삼청동,명동,화,종로구,1.49
911422,2024-04-18,1825,20,2602,송파1동,문정1동,목,송파구,0.79
1630084,2024-04-21,1930,19,832,잠실2동,잠실2동,일,송파구,2.18
1180966,2024-04-19,1525,10,1142,목1동,목4동,금,양천구,1.41
1280752,2024-04-19,1910,14,2560,양재1동,개포4동,금,서초구,5.76
473704,2024-04-17,1210,37,6223,역삼2동,잠실6동,수,강남구,1.15
511543,2024-04-17,1510,39,2317,고척1동,개봉1동,수,구로구,1.16
1284131,2024-04-19,1920,3,548,송파1동,석촌동,금,송파구,0.79
1415940,2024-04-20,1205,4,931,신월6동,신정3동,토,양천구,0.41
319095,2024-04-16,2020,6,1130,성내1동,성내2동,화,강동구,0.58
926166,2024-04-18,1850,19,3467,응봉동,송정동,목,성동구,0.57
99328,2024-04-15,2105,6,1135,가양1동,가양1동,월,강서구,4.70
864261,2024-04-18,1650,10,1160,응암1동,응암3동,목,은평구,1.20
1449233,2024-04-21,250,4,1105,당산1동,당산2동,일,영등포구,0.75
265242,2024-04-16,1810,11,1440,가락본동,방이1동,화,송파구,1.13
1378779,2024-04-20,350,3,829,목1동,신정6동,토,양천구,1.41
1372373,2024-04-20,205,13,1920,화곡1동,신월2동,토,강서구,1.12
1253604,2024-04-19,1820,5,502,천호2동,천호3동,금,강동구,1.57
1065244,2024-04-19,800,1,0,면목본동,상봉2동,금,중랑구,0.84
978818,2024-04-18,2110,40,5288,성내1동,장지동,목,강동구,0.58
120795,2024-04-15,2320,25,4040,신사2동,응암3동,월,은평구,1.00
1674139,2024-04-21,2310,34,2300,문래동,문래동,일,영등포구,1.49
1536332,2024-04-21,1425,1,0,사당3동,사당3동,일,동작구,0.92
319695,2024-04-16,2025,101,3080,당산2동,당산2동,화,영등포구,1.55
662995,2024-04-17,2200,42,2573,진관동,진관동,수,은평구,11.53
1554594,2024-04-21,1525,37,680,신사동,신사동,일,관악구,0.64
520147,2024-04-17,1545,12,1633,도봉2동,상계8동,수,도봉구,0.83
891453,2024-04-18,1755,11,1503,구로4동,대림3동,목,구로구,0.46
701426,2024-04-18,540,0,0,답십리1동,답십리1동,목,동대문구,0.81
434284,2024-04-17,855,5,730,방화1동,가양1동,수,강서구,1.48
797608,2024-04-18,1205,58,1930,중화2동,상봉2동,목,중랑구,1.01
362358,2024-04-16,2335,23,2049,목1동,신정4동,화,양천구,1.41
878023,2024-04-18,1725,6,906,화곡3동,발산1동,목,강서구,0.53
1071236,2024-04-19,815,17,4266,한남동,이촌1동,금,용산구,3.01
581090,2024-04-17,1815,10,2250,상암동,성산2동,수,마포구,8.40
1130306,2024-04-19,1150,5,897,발산1동,공항동,금,강서구,2.94
518018,2024-04-17,1535,15,2000,상암동,북가좌2동,수,마포구,8.40
675980,2024-04-17,2255,6,602,홍제2동,홍제2동,수,서대문구,1.05
412888,2024-04-17,815,41,2920,화곡본동,가양3동,수,강서구,0.98
856279,2024-04-18,1625,0,0,청량리동,청량리동,목,동대문구,1.20
280133,2024-04-16,1835,5,669,전농2동,장안2동,화,동대문구,0.86
238067,2024-04-16,1710,0,0,오금동,오금동,화,송파구,1.65
372667,2024-04-17,200,19,2621,가락본동,거여1동,수,송파구,1.13
1216331,2024-04-19,1710,4,353,종로1·2·3·4가동,종로1·2·3·4가동,금,,
1604440,2024-04-21,1800,52,3143,발산1동,발산1동,일,강서구,2.94
1047310,2024-04-19,715,3,740,등촌3동,가양1동,금,강서구,0.79
49824,2024-04-15,955,8,1611,신정2동,목1동,월,양천구,0.52
119583,2024-04-15,2310,19,1337,목1동,목5동,월,양천구,1.41
633642,2024-04-17,2015,18,2344,종로1·2·3·4가동,혜화동,수,,
146852,2024-04-16,840,3,470,문래동,문래동,화,영등포구,1.49
1117514,2024-04-19,1045,4,616,목1동,신정6동,금,양천구,1.41
855094,2024-04-18,1625,2,380,무악동,교남동,목,종로구,0.36
961767,2024-04-18,2015,38,1872,번1동,번1동,목,강북구,0.66
1529104,2024-04-21,1400,5,790,목1동,신정2동,일,양천구,1.41
1508071,2024-04-21,1245,10,1487,송정동,성수2가3동,일,성동구,0.75
762283,2024-04-18,905,8,987,신림동,은천동,목,관악구,0.54
1635921,2024-04-21,1955,42,1074,상봉2동,망우본동,일,중랑구,0.65
996719,2024-04-18,2210,24,5720,당산2동,여의동,목,영등포구,1.55
999486,2024-04-18,2220,4,870,가양1동,가양1동,목,강서구,4.70
1194055,2024-04-19,1610,5,805,하계1동,하계2동,금,노원구,1.55
1448456,2024-04-21,235,5,929,양평1동,목1동,일,영등포구,0.88
78158,2024-04-15,1905,6,950,가양1동,방화1동,월,강서구,4.70
253370,2024-04-16,1745,96,15361,창4동,월계3동,화,도봉구,0.95
452400,2024-04-17,1010,21,1071,신정2동,신정2동,수,양천구,0.52
830677,2024-04-18,1445,33,4070,가락본동,잠실3동,목,송파구,1.13
1617721,2024-04-21,1845,34,5781,수유2동,월계3동,일,강북구,0.57
1016954,2024-04-18,2355,6,1110,염창동,가양3동,목,강서구,1.74
1384948,2024-04-20,640,4,1229,장안1동,장안2동,토,동대문구,1.25
1427388,2024-04-20,1720,5,780,발산1동,공항동,토,강서구,2.94
1134603,2024-04-19,1210,48,13530,옥수동,신촌동,금,성동구,1.94
440175,2024-04-17,915,0,0,합정동,합정동,수,마포구,1.72
1352079,2024-04-19,2315,22,3370,신정7동,신정1동,금,양천구,1.21
104269,2024-04-15,2130,9,1061,잠실6동,송파1동,월,송파구,2.79
456112,2024-04-17,1035,4,824,자양3동,자양2동,수,광진구,1.20
954949,2024-04-18,1955,17,2930,월계2동,공릉1동,목,노원구,1.94
116508,2024-04-15,2245,7,1422,면목본동,면목3·8동,월,중랑구,0.84
1594167,2024-04-21,1730,10,980,문래동,당산1동,일,영등포구,1.49
1550179,2024-04-21,1510,25,1882,반포2동,반포4동,일,서초구,1.35
1131714,2024-04-19,1155,20,2450,중계2·3동,상계2동,금,,
631777,2024-04-17,2010,18,2010,장위3동,월계1동,수,성북구,0.65
1380622,2024-04-20,445,8,1670,영등포동,여의동,토,영등포구,1.26
1566678,2024-04-21,1605,1,0,금호4가동,금호4가동,일,성동구,0.84
741991,2024-04-18,825,4,506,명동,종로1·2·3·4가동,목,중구,0.99
765741,2024-04-18,920,7,1037,문정1동,가락본동,목,송파구,0.56
1407229,2024-04-20,945,11,3469,신월1동,신정6동,토,양천구,0.65
1184220,2024-04-19,1535,7,914,둔촌2동,길동,금,강동구,1.56
466899,2024-04-17,1135,1,0,반포2동,반포4동,수,서초구,1.35
472773,2024-04-17,1205,52,7029,월계1동,쌍문4동,수,노원구,1.16
