,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
637471,2024-04-17,2030,6,826,가양1동,가양1동,수
352190,2024-04-16,2230,19,2049,가양1동,방화1동,화
1002531,2024-04-18,2230,7,930,가양1동,가양1동,목
210814,2024-04-16,1535,3,340,가양3동,가양3동,화
1622743,2024-04-21,1905,7,467,가양1동,발산1동,일
1624098,2024-04-21,1910,12,1995,가양1동,발산1동,일
1538740,2024-04-21,1435,44,6356,가양1동,방화3동,일
163351,2024-04-16,1100,5,139,가양3동,등촌1동,화
247584,2024-04-16,1735,8,1273,가양1동,가양1동,화
229643,2024-04-16,1645,27,2147,가양1동,우장산동,화
654908,2024-04-17,2130,8,820,가양2동,등촌3동,수
333069,2024-04-16,2115,58,10218,가양1동,합정동,화
236168,2024-04-16,1705,8,1670,가양1동,방화1동,화
787353,2024-04-18,1110,68,1288,가양1동,방화1동,목
657526,2024-04-17,2140,41,2309,가양3동,가양3동,수
1242023,2024-04-19,1805,17,2490,가양1동,등촌2동,금
464670,2024-04-17,1125,20,1976,가양1동,등촌1동,수
321368,2024-04-16,2030,5,950,가양1동,가양1동,화
297600,2024-04-16,1915,5,660,가양1동,가양1동,화
1317271,2024-04-19,2100,40,3380,가양1동,방화3동,금
1166026,2024-04-19,1425,56,3090,가양1동,방화1동,금
673703,2024-04-17,2240,27,3717,가양1동,등촌1동,수
1382138,2024-04-20,535,4,1170,가양1동,가양1동,토
778728,2024-04-18,1015,7,1122,가양2동,가양3동,목
376925,2024-04-17,430,5,1100,가양1동,가양1동,수
520014,2024-04-17,1545,4,455,가양1동,가양1동,수
1349144,2024-04-19,2300,13,1051,가양1동,발산1동,금
639879,2024-04-17,2035,10,908,가양1동,등촌3동,수
647712,2024-04-17,2105,18,2616,가양1동,방화3동,수
266597,2024-04-16,1810,24,2509,가양1동,우장산동,화
953876,2024-04-18,1955,11,1138,가양1동,가양1동,목
1162588,2024-04-19,1410,49,7060,가양2동,양평2동,금
726615,2024-04-18,750,7,1261,가양1동,방화1동,목
888441,2024-04-18,1750,5,780,가양1동,가양1동,목
333268,2024-04-16,2115,13,1920,가양1동,가양1동,화
397251,2024-04-17,740,3,854,가양1동,가양1동,수
413924,2024-04-17,815,5,1132,가양1동,가양1동,수
188172,2024-04-16,1335,13,630,가양1동,가양1동,화
1335310,2024-04-19,2205,29,2039,가양1동,등촌1동,금
540298,2024-04-17,1655,92,5347,가양1동,가양2동,수
1587262,2024-04-21,1710,43,5640,가양1동,화곡3동,일
795231,2024-04-18,1150,8,2100,가양1동,가양1동,목
1650181,2024-04-21,2100,34,3513,가양1동,가양1동,일
3387,2024-04-15,40,12,1711,가양1동,등촌3동,월
647864,2024-04-17,2105,5,938,가양3동,염창동,수
77579,2024-04-15,1900,4,602,가양1동,공항동,월
199945,2024-04-16,1440,6,877,가양1동,가양1동,화
1402098,2024-04-20,915,26,5260,가양3동,가양3동,토
1459743,2024-04-21,755,7,1302,가양1동,공항동,일
923449,2024-04-18,1845,41,6966,가양1동,화곡본동,목
489735,2024-04-17,1325,9,580,가양3동,가양2동,수
1351158,2024-04-19,2310,8,1528,가양1동,발산1동,금
811365,2024-04-18,1310,4,666,가양1동,가양1동,목
1670088,2024-04-21,2245,6,1169,가양1동,가양1동,일
286895,2024-04-16,1850,77,24060,가양1동,공덕동,화
579840,2024-04-17,1815,12,2327,가양1동,등촌1동,수
96672,2024-04-15,2050,24,2592,가양2동,등촌3동,월
586526,2024-04-17,1825,15,2161,가양3동,등촌2동,수
435268,2024-04-17,900,13,2228,가양1동,가양1동,수
324323,2024-04-16,2040,6,1208,가양1동,발산1동,화
1045865,2024-04-19,710,5,864,가양1동,가양1동,금
731813,2024-04-18,800,18,1879,가양1동,우장산동,목
1598790,2024-04-21,1745,30,2689,가양1동,가양1동,일
1432548,2024-04-20,2130,6,997,가양1동,공항동,토
659163,2024-04-17,2145,9,1662,가양1동,방화3동,수
1074279,2024-04-19,820,6,1357,가양1동,가양1동,금
793676,2024-04-18,1145,8,1097,가양1동,등촌3동,목
264979,2024-04-16,1810,55,14546,가양1동,공덕동,화
1657672,2024-04-21,2135,19,1668,가양1동,발산1동,일
413779,2024-04-17,815,4,867,가양1동,가양1동,수
625736,2024-04-17,1950,7,1582,가양1동,가양1동,수
644617,2024-04-17,2055,8,750,가양1동,공항동,수
1071505,2024-04-19,815,4,873,가양1동,가양1동,금
696628,2024-04-18,300,9,1830,가양1동,공항동,목
295866,2024-04-16,1910,9,1150,가양2동,등촌1동,화
933126,2024-04-18,1905,6,761,가양1동,방화1동,목
1191043,2024-04-19,1600,8,1132,가양1동,등촌3동,금
445437,2024-04-17,940,10,2396,가양1동,가양3동,수
1668969,2024-04-21,2235,9,1429,가양1동,공항동,일
790522,2024-04-18,1125,5,920,가양1동,가양1동,목
303504,2024-04-16,1930,6,1362,가양1동,공항동,화
917011,2024-04-18,1835,13,2138,가양1동,공항동,목
555218,2024-04-17,1730,19,2680,가양1동,등촌3동,수
1206596,2024-04-19,1645,8,1384,가양1동,가양1동,금
763749,2024-04-18,910,122,3663,가양1동,방화1동,목
556641,2024-04-17,1735,32,3874,가양3동,화곡6동,수
1112229,2024-04-19,1015,6,1024,가양1동,공항동,금
374222,2024-04-17,240,9,1320,가양1동,발산1동,수
928251,2024-04-18,1855,3,796,가양1동,가양1동,목
779434,2024-04-18,1020,7,1350,가양1동,발산1동,목
557909,2024-04-17,1740,12,963,가양1동,가양1동,수
1325222,2024-04-19,2125,2,199,가양1동,공항동,금
593759,2024-04-17,1840,3,730,가양1동,가양1동,수
608987,2024-04-17,1910,14,1700,가양1동,공항동,수
230408,2024-04-16,1645,59,3115,가양1동,가양1동,화
852751,2024-04-18,1615,8,1063,가양1동,가양1동,목
1058944,2024-04-19,750,19,2215,가양2동,발산1동,금
744007,2024-04-18,825,3,496,가양1동,가양1동,목
1450713,2024-04-21,330,7,1190,가양1동,방화1동,일
1470123,2024-04-21,930,19,2254,가양1동,방화3동,일
976611,2024-04-18,2105,4,680,가양1동,가양1동,목
1206592,2024-04-19,1645,3,790,가양1동,가양1동,금
1075137,2024-04-19,825,3,580,가양3동,등촌1동,금
1641091,2024-04-21,2020,4,782,가양1동,방화1동,일
1162710,2024-04-19,1410,11,1600,가양1동,공항동,금
327816,2024-04-16,2055,7,1209,가양1동,가양1동,화
1639342,2024-04-21,2010,4,494,가양1동,공항동,일
1241600,2024-04-19,1800,22,1100,가양1동,우장산동,금
63704,2024-04-15,1750,13,1269,가양1동,공항동,월
277500,2024-04-16,1830,52,12347,가양1동,개봉1동,화
794635,2024-04-18,1150,22,1030,가양1동,가양1동,목
459075,2024-04-17,1050,8,1348,가양1동,우장산동,수
573282,2024-04-17,1805,10,1390,가양1동,방화1동,수
1044506,2024-04-19,700,9,1640,가양1동,공항동,금
1038873,2024-04-19,625,7,2550,가양1동,가양1동,금
729499,2024-04-18,755,34,9851,가양1동,여의동,목
800199,2024-04-18,1215,5,603,가양1동,가양1동,목
1626090,2024-04-21,1915,16,2230,가양1동,등촌3동,일
382159,2024-04-17,620,5,985,가양1동,가양1동,수
768730,2024-04-18,930,3,832,가양1동,방화1동,목
724721,2024-04-18,745,6,1154,가양1동,가양1동,목
1031860,2024-04-19,350,19,2443,가양2동,화곡본동,금
1625273,2024-04-21,1915,44,3240,가양1동,공항동,일
1557616,2024-04-21,1535,18,2480,가양1동,공항동,일
1446158,2024-04-21,150,12,2749,가양1동,등촌1동,일
124238,2024-04-16,10,40,3740,가양2동,가양2동,화
136007,2024-04-16,600,10,1771,가양1동,방화1동,화
230406,2024-04-16,1645,10,1303,가양1동,방화1동,화
263952,2024-04-16,1805,4,706,가양1동,공항동,화
1517625,2024-04-21,1320,2,222,가양3동,등촌1동,일
1527869,2024-04-21,1355,3,334,가양1동,가양1동,일
1171280,2024-04-19,1450,6,494,가양1동,가양1동,금
1581868,2024-04-21,1650,15,2090,가양1동,가양1동,일
1284474,2024-04-19,1920,6,901,가양1동,가양1동,금
933583,2024-04-18,1905,11,1502,가양2동,가양1동,목
1204791,2024-04-19,1640,5,799,가양1동,가양1동,금
610824,2024-04-17,1910,8,661,가양2동,등촌1동,수
1268445,2024-04-19,1845,8,1420,가양1동,가양1동,금
577005,2024-04-17,1810,7,1212,가양1동,가양1동,수
773242,2024-04-18,950,91,4060,가양1동,발산1동,목
1664121,2024-04-21,2210,29,4510,가양1동,등촌1동,일
555940,2024-04-17,1735,25,4920,가양1동,염창동,수
1102909,2024-04-19,935,2,239,가양1동,가양1동,금
997970,2024-04-18,2215,8,1649,가양1동,발산1동,목
483066,2024-04-17,1255,6,552,가양1동,발산1동,수
1398562,2024-04-20,850,1,270,가양1동,공항동,토
1308229,2024-04-19,2030,18,1832,가양1동,발산1동,금
1033497,2024-04-19,455,3,623,가양1동,가양1동,금
74971,2024-04-15,1850,4,830,가양1동,가양1동,월
1640717,2024-04-21,2020,7,1293,가양1동,가양1동,일
268565,2024-04-16,1815,12,1856,가양1동,공항동,화
1215309,2024-04-19,1710,21,2863,가양1동,가양1동,금
364462,2024-04-17,5,4,1080,가양1동,가양1동,수
818514,2024-04-18,1345,5,969,가양1동,가양1동,목
545125,2024-04-17,1705,4,640,가양1동,가양1동,수
287778,2024-04-16,1850,6,1260,가양1동,방화1동,화
1249912,2024-04-19,1815,9,1126,가양3동,염창동,금
1312235,2024-04-19,2040,7,726,가양1동,가양1동,금
1096364,2024-04-19,910,11,626,가양1동,가양2동,금
1670459,2024-04-21,2245,9,1764,가양1동,방화1동,일
951074,2024-04-18,1945,9,1533,가양1동,가양1동,목
802656,2024-04-18,1230,6,960,가양1동,공항동,목
1514505,2024-04-21,1310,4,1120,가양1동,방화1동,일
1527316,2024-04-21,1355,58,9882,가양1동,여의동,일
72176,2024-04-15,1835,10,1399,가양1동,가양1동,월
570330,2024-04-17,1800,25,2070,가양1동,가양1동,수
9686,2024-04-15,240,5,1012,가양3동,등촌1동,월
1175681,2024-04-19,1505,103,1058,가양1동,방화1동,금
580088,2024-04-17,1815,10,544,가양1동,방화1동,수
184137,2024-04-16,1315,12,1453,가양1동,방화1동,화
913464,2024-04-18,1830,19,2051,가양1동,등촌3동,목
