,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
1445406,2024-04-21,135,94,14539,반포2동,화양동,일
635744,2024-04-17,2020,18,2218,반포3동,잠원동,수
1049503,2024-04-19,725,15,2317,반포4동,서초2동,금
1632495,2024-04-21,1940,146,20917,반포2동,당산2동,일
1630937,2024-04-21,1935,9,1320,반포3동,반포2동,일
511709,2024-04-17,1510,24,3510,반포3동,잠원동,수
367039,2024-04-17,35,24,3009,반포1동,논현1동,수
1579523,2024-04-21,1645,6,1095,반포1동,반포1동,일
1300536,2024-04-19,2000,31,3226,반포2동,방배3동,금
839819,2024-04-18,1525,3,610,반포1동,반포1동,목
1144544,2024-04-19,1250,9,1450,반포1동,서초2동,금
754130,2024-04-18,845,8,1020,반포3동,잠원동,목
74243,2024-04-15,1845,4,753,반포1동,반포1동,월
1530279,2024-04-21,1405,40,3172,반포1동,서초2동,일
812506,2024-04-18,1315,15,1789,반포4동,반포1동,목
1286233,2024-04-19,1920,37,7090,반포2동,여의동,금
1512523,2024-04-21,1300,42,2440,반포4동,반포4동,일
539178,2024-04-17,1650,84,13990,반포2동,반포2동,수
641962,2024-04-17,2045,117,10739,반포4동,반포3동,수
1503470,2024-04-21,1225,26,1469,반포3동,잠원동,일
68319,2024-04-15,1815,4,773,반포3동,반포3동,월
1507173,2024-04-21,1240,101,17035,반포3동,여의동,일
994645,2024-04-18,2205,12,2240,반포4동,방배1동,목
403610,2024-04-17,750,19,3356,반포3동,서빙고동,수
1113705,2024-04-19,1025,12,1038,반포3동,반포1동,금
941011,2024-04-18,1920,20,4840,반포3동,압구정동,목
1479395,2024-04-21,1030,116,1550,반포3동,반포1동,일
1489709,2024-04-21,1125,17,2770,반포1동,서초2동,일
639053,2024-04-17,2035,28,2703,반포2동,방배본동,수
259950,2024-04-16,1800,34,8333,반포3동,원효로1동,화
525737,2024-04-17,1605,7,1200,반포1동,반포1동,수
1575121,2024-04-21,1630,59,1173,반포2동,반포2동,일
1617169,2024-04-21,1845,102,14431,반포3동,반포3동,일
102787,2024-04-15,2125,16,2290,반포4동,방배4동,월
865389,2024-04-18,1655,4,768,반포1동,반포1동,목
1557361,2024-04-21,1535,38,2476,반포3동,잠원동,일
1424565,2024-04-20,1500,139,11480,반포1동,반포3동,토
529530,2024-04-17,1620,120,10327,반포4동,,수
508850,2024-04-17,1455,44,11920,반포4동,잠실6동,수
213170,2024-04-16,1545,15,1795,반포3동,잠원동,화
1137590,2024-04-19,1225,33,5120,반포3동,반포3동,금
873346,2024-04-18,1715,31,4148,반포3동,사당1동,목
1214239,2024-04-19,1705,7,1516,반포1동,반포1동,금
1272270,2024-04-19,1850,79,31730,반포3동,신정1동,금
1266498,2024-04-19,1840,7,743,반포4동,반포1동,금
540271,2024-04-17,1655,48,9833,반포4동,당산2동,수
1367191,2024-04-20,110,14,1903,반포1동,반포2동,토
110937,2024-04-15,2210,76,15275,반포3동,종암동,월
447968,2024-04-17,950,3,453,반포4동,반포3동,수
1011368,2024-04-18,2310,111,11784,반포3동,흑석동,목
1057747,2024-04-19,745,6,1560,반포3동,반포본동,금
238370,2024-04-16,1710,94,9471,반포4동,서빙고동,화
959701,2024-04-18,2010,45,900,반포2동,반포2동,목
1355276,2024-04-19,2330,28,4206,반포1동,압구정동,금
1504868,2024-04-21,1230,4,670,반포4동,반포1동,일
1636285,2024-04-21,2000,8,1547,반포2동,방배본동,일
1486749,2024-04-21,1110,55,9120,반포2동,방배본동,일
560286,2024-04-17,1740,19,2850,반포1동,방배본동,수
656499,2024-04-17,2135,22,3076,반포3동,방배4동,수
1580720,2024-04-21,1645,25,3569,반포3동,방배4동,일
805752,2024-04-18,1245,5,1886,반포3동,,목
1278829,2024-04-19,1905,63,7040,반포3동,노량진1동,금
874724,2024-04-18,1720,49,7948,반포3동,여의동,목
1277532,2024-04-19,1905,14,2020,반포1동,반포3동,금
4965,2024-04-15,100,20,2192,반포1동,반포1동,월
1604401,2024-04-21,1800,89,34750,반포3동,잠원동,일
900693,2024-04-18,1810,57,11601,반포4동,서교동,목
1354643,2024-04-19,2330,18,1963,반포3동,잠원동,금
1258339,2024-04-19,1825,61,7860,반포2동,노량진1동,금
81818,2024-04-15,1925,26,2400,반포1동,서초2동,월
88920,2024-04-15,2005,10,556,반포2동,,월
878617,2024-04-18,1730,17,1110,반포4동,반포2동,목
979474,2024-04-18,2110,21,1730,반포1동,서초1동,목
318271,2024-04-16,2020,28,1439,반포4동,반포4동,화
173808,2024-04-16,1215,41,3220,반포4동,반포3동,화
1217480,2024-04-19,1715,53,8126,반포4동,한강로동,금
1364524,2024-04-20,50,8,520,반포3동,반포3동,토
544734,2024-04-17,1705,1,142,반포1동,반포1동,수
637224,2024-04-17,2025,50,5679,반포3동,옥수동,수
1621766,2024-04-21,1900,26,2952,반포2동,방배4동,일
633013,2024-04-17,2015,55,10060,반포3동,여의동,수
331389,2024-04-16,2105,6,750,반포4동,반포1동,화
866812,2024-04-18,1700,6,439,반포4동,반포3동,목
1419467,2024-04-20,1315,1,170,반포3동,반포3동,토
294975,2024-04-16,1905,33,5415,반포2동,반포2동,화
1339891,2024-04-19,2220,13,1785,반포3동,잠원동,금
646060,2024-04-17,2100,16,2501,반포4동,반포1동,수
925458,2024-04-18,1850,49,6998,반포1동,반포1동,목
444791,2024-04-17,935,43,4092,반포1동,서초4동,수
1643613,2024-04-21,2030,102,14431,반포3동,반포3동,일
94686,2024-04-15,2035,5,680,반포1동,잠원동,월
297004,2024-04-16,1910,12,2170,반포2동,방배4동,화
1596511,2024-04-21,1735,80,9660,반포4동,역삼2동,일
1362037,2024-04-20,30,25,2970,반포2동,방배2동,토
183518,2024-04-16,1310,93,14897,반포1동,망원1동,화
1459962,2024-04-21,755,22,3437,반포4동,사당1동,일
1366463,2024-04-20,105,1,88,반포3동,반포3동,토
820614,2024-04-18,1355,9,1222,반포3동,반포1동,목
662763,2024-04-17,2200,19,2494,반포4동,역삼1동,수
518820,2024-04-17,1540,34,3772,반포1동,반포2동,수
1606862,2024-04-21,1810,11,1600,반포1동,역삼1동,일
1504206,2024-04-21,1230,90,9425,반포2동,성수1가1동,일
1625784,2024-04-21,1915,52,12069,반포3동,자양1동,일
998314,2024-04-18,2215,111,11784,반포3동,흑석동,목
417547,2024-04-17,825,3,644,반포4동,반포2동,수
559797,2024-04-17,1740,19,2870,반포4동,사당2동,수
1273944,2024-04-19,1855,29,7819,반포3동,여의동,금
941732,2024-04-18,1920,32,3245,반포2동,반포1동,목
360940,2024-04-16,2325,5,983,반포3동,반포3동,화
467612,2024-04-17,1140,38,7784,반포3동,청담동,수
358990,2024-04-16,2310,4,323,반포4동,반포4동,화
47315,2024-04-15,830,98,1162,반포2동,반포4동,월
1220656,2024-04-19,1720,25,3198,반포2동,서초3동,금
1120307,2024-04-19,1100,2,530,반포3동,반포3동,금
1332965,2024-04-19,2155,157,43019,반포3동,사근동,금
353877,2024-04-16,2235,3,565,반포3동,반포3동,화
651480,2024-04-17,2115,104,2835,반포3동,반포3동,수
1573940,2024-04-21,1625,123,19466,반포1동,성수1가1동,일
593516,2024-04-17,1840,5,692,반포2동,반포3동,수
1356710,2024-04-19,2340,4,239,반포1동,반포1동,금
900695,2024-04-18,1810,26,2984,반포4동,역삼1동,목
709953,2024-04-18,655,20,3242,반포1동,신사동,목
418699,2024-04-17,825,12,2124,반포2동,반포3동,수
22872,2024-04-15,650,5,780,반포1동,서초2동,월
265283,2024-04-16,1810,45,9842,반포2동,영등포동,화
310544,2024-04-16,1950,5,981,반포3동,반포2동,화
1360502,2024-04-20,15,5,799,반포2동,반포2동,토
1416052,2024-04-20,1210,8,1512,반포4동,방배본동,토
607362,2024-04-17,1905,7,1970,반포1동,반포1동,수
1033133,2024-04-19,440,18,2679,반포3동,방배4동,금
1136871,2024-04-19,1220,12,1583,반포2동,방배본동,금
341489,2024-04-16,2145,24,6280,반포1동,도곡1동,화
302652,2024-04-16,1930,24,1870,반포3동,서초3동,화
712738,2024-04-18,710,55,4400,반포2동,역삼1동,목
931221,2024-04-18,1900,2,340,반포3동,반포3동,목
887013,2024-04-18,1745,3,718,반포3동,반포3동,목
1201750,2024-04-19,1630,7,713,반포3동,반포3동,금
676758,2024-04-17,2255,12,1750,반포3동,반포3동,수
161242,2024-04-16,1040,22,1861,반포3동,반포2동,화
293313,2024-04-16,1905,47,5310,반포3동,방배4동,화
549880,2024-04-17,1720,9,1169,반포4동,반포1동,수
1309064,2024-04-19,2030,15,1694,반포1동,반포4동,금
317435,2024-04-16,2015,11,2303,반포4동,방배1동,화
961417,2024-04-18,2015,10,902,반포1동,반포2동,목
1322773,2024-04-19,2115,12,2243,반포3동,역삼1동,금
1422364,2024-04-20,1405,47,6565,반포4동,반포4동,토
765662,2024-04-18,920,10,841,반포1동,논현1동,목
65005,2024-04-15,1800,4,532,반포3동,반포3동,월
307622,2024-04-16,1945,19,1776,반포1동,서초1동,화
924118,2024-04-18,1845,11,1920,반포4동,서초3동,목
1634978,2024-04-21,1955,49,8460,반포3동,용강동,일
