,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
773789,2024-04-18,950,3,730,방배본동,방배4동,목
1385261,2024-04-20,640,10,1031,방배4동,반포2동,토
1256405,2024-04-19,1825,44,9153,방배본동,응봉동,금
134329,2024-04-16,530,8,1487,방배4동,방배본동,화
1315518,2024-04-19,2050,19,3665,방배2동,반포2동,금
1115535,2024-04-19,1035,3,506,방배4동,사당1동,금
1270929,2024-04-19,1850,5,1258,방배본동,방배2동,금
633266,2024-04-17,2015,88,23620,방배본동,사당2동,수
1212939,2024-04-19,1705,84,2377,방배본동,방배4동,금
457699,2024-04-17,1045,25,4224,방배본동,논현1동,수
842614,2024-04-18,1540,22,3122,방배본동,서초3동,목
788452,2024-04-18,1115,81,210,방배4동,방배4동,목
521800,2024-04-17,1550,4,390,방배본동,반포2동,수
454564,2024-04-17,1025,56,10820,방배본동,성수1가2동,수
97895,2024-04-15,2055,3,390,방배4동,방배4동,월
1615495,2024-04-21,1835,29,2680,방배4동,서초3동,일
279123,2024-04-16,1835,45,6681,방배4동,방배4동,화
804688,2024-04-18,1240,85,17191,방배본동,방배4동,목
1324190,2024-04-19,2120,26,3624,방배4동,흑석동,금
668474,2024-04-17,2215,4,633,방배4동,사당2동,수
134815,2024-04-16,540,9,3080,방배4동,방배2동,화
836576,2024-04-18,1510,7,812,방배4동,방배4동,목
1160324,2024-04-19,1400,6,995,방배4동,방배본동,금
989148,2024-04-18,2145,60,4194,방배2동,낙성대동,목
1389840,2024-04-20,745,14,2470,방배본동,반포3동,토
1398108,2024-04-20,845,7,1084,방배4동,방배본동,토
900234,2024-04-18,1810,5,1280,방배본동,방배본동,목
387495,2024-04-17,700,4,910,방배본동,방배4동,수
1244018,2024-04-19,1805,34,7833,방배4동,옥수동,금
631977,2024-04-17,2010,100,846,방배4동,방배4동,수
114709,2024-04-15,2230,3,790,방배3동,방배4동,월
1360179,2024-04-20,15,9,1210,방배4동,사당3동,토
1040039,2024-04-19,635,4,833,방배4동,방배4동,금
775141,2024-04-18,955,46,3730,방배본동,흑석동,목
553665,2024-04-17,1730,13,1700,방배본동,사당1동,수
766139,2024-04-18,920,31,3893,방배2동,반포2동,목
1165578,2024-04-19,1425,14,1841,방배3동,방배4동,금
1585608,2024-04-21,1700,8,556,방배4동,방배본동,일
426489,2024-04-17,840,24,3580,방배본동,서초4동,수
146071,2024-04-16,830,23,4110,방배본동,서초2동,화
908074,2024-04-18,1820,39,8840,방배2동,여의동,목
16630,2024-04-15,605,15,2513,방배3동,방배4동,월
673005,2024-04-17,2235,14,2245,방배2동,방배본동,수
1532873,2024-04-21,1410,108,3473,방배4동,반포3동,일
585709,2024-04-17,1825,117,4334,방배4동,방배4동,수
423351,2024-04-17,835,3,536,방배4동,방배4동,수
1040986,2024-04-19,640,5,1015,방배4동,사당1동,금
549272,2024-04-17,1715,1,70,방배2동,방배2동,수
1104556,2024-04-19,940,15,3136,방배4동,서초2동,금
594799,2024-04-17,1840,4,675,방배2동,방배2동,수
1163632,2024-04-19,1415,25,5410,방배4동,서빙고동,금
1652680,2024-04-21,2110,3,636,방배2동,방배2동,일
247415,2024-04-16,1735,10,1451,방배2동,방배본동,화
5222,2024-04-15,105,10,1750,방배본동,방배2동,월
520205,2024-04-17,1545,17,2395,방배본동,사당3동,수
898049,2024-04-18,1805,36,2630,방배3동,사당1동,목
529484,2024-04-17,1620,3,697,방배2동,방배2동,수
1612766,2024-04-21,1830,7,1047,방배4동,방배4동,일
202484,2024-04-16,1455,12,1794,방배3동,방배3동,화
822739,2024-04-18,1405,17,4139,방배본동,이촌2동,목
1267548,2024-04-19,1845,4,523,방배본동,방배4동,금
59649,2024-04-15,1655,19,1608,방배4동,방배2동,월
114875,2024-04-15,2230,13,2938,방배3동,사당1동,월
1357424,2024-04-19,2350,4,1058,방배본동,방배4동,금
1397652,2024-04-20,845,6,1391,방배3동,방배2동,토
685281,2024-04-18,10,6,948,방배본동,방배4동,목
18407,2024-04-15,620,15,2513,방배3동,방배4동,월
5028,2024-04-15,100,10,2010,방배본동,반포3동,월
837669,2024-04-18,1515,10,1714,방배본동,방배1동,목
857001,2024-04-18,1630,71,1673,방배본동,방배본동,목
860765,2024-04-18,1640,9,1102,방배4동,방배4동,목
737884,2024-04-18,815,6,890,방배2동,사당1동,목
533762,2024-04-17,1630,53,1430,방배2동,,수
512063,2024-04-17,1510,7,890,방배4동,방배2동,수
1046559,2024-04-19,710,3,580,방배본동,방배4동,금
957380,2024-04-18,2005,12,770,방배본동,방배4동,목
1589640,2024-04-21,1715,6,2960,방배3동,방배2동,일
22016,2024-04-15,645,4,1012,방배4동,사당1동,월
546178,2024-04-17,1710,13,2220,방배본동,사당1동,수
1330708,2024-04-19,2145,21,4244,방배1동,흑석동,금
1444266,2024-04-21,115,8,1152,방배2동,사당3동,일
5739,2024-04-15,110,28,5236,방배4동,방배4동,월
287185,2024-04-16,1850,3,594,방배4동,방배4동,화
1037775,2024-04-19,610,12,2150,방배2동,방배본동,금
704913,2024-04-18,620,8,1522,방배본동,반포4동,목
611966,2024-04-17,1915,23,4209,방배4동,방배본동,수
1651163,2024-04-21,2105,35,4082,방배2동,낙성대동,일
1216043,2024-04-19,1710,12,1207,방배4동,방배4동,금
173671,2024-04-16,1215,19,2244,방배3동,사당2동,화
1090037,2024-04-19,850,4,898,방배본동,방배4동,금
937395,2024-04-18,1910,7,1026,방배4동,방배본동,목
201111,2024-04-16,1450,64,1561,방배4동,방배4동,화
1249593,2024-04-19,1815,8,1107,방배4동,방배3동,금
139237,2024-04-16,710,5,1760,방배2동,남현동,화
320997,2024-04-16,2030,79,5959,방배3동,반포3동,화
4681,2024-04-15,55,18,2499,방배본동,사당1동,월
802430,2024-04-18,1225,23,3302,방배4동,반포3동,목
934725,2024-04-18,1905,58,6543,방배본동,한강로동,목
378543,2024-04-17,525,9,1372,방배3동,남현동,수
1047731,2024-04-19,715,29,6470,방배4동,여의동,금
329599,2024-04-16,2100,7,1330,방배4동,방배본동,화
1309974,2024-04-19,2035,23,3270,방배본동,반포3동,금
509094,2024-04-17,1455,18,2098,방배4동,반포2동,수
347006,2024-04-16,2205,18,1740,방배4동,방배본동,화
43584,2024-04-15,810,32,5741,방배3동,도곡2동,월
96878,2024-04-15,2050,12,2605,방배3동,서초2동,월
1331384,2024-04-19,2150,3,222,방배4동,사당2동,금
991737,2024-04-18,2155,15,1653,방배본동,사당1동,목
528038,2024-04-17,1615,69,18460,방배본동,명일1동,수
1232521,2024-04-19,1745,6,703,방배4동,사당1동,금
538446,2024-04-17,1645,54,6265,방배본동,방배4동,수
538447,2024-04-17,1645,9,1170,방배본동,방배4동,수
1153952,2024-04-19,1330,4,667,방배4동,방배본동,금
386895,2024-04-17,655,3,608,방배본동,반포2동,수
933883,2024-04-18,1905,59,19290,방배본동,흑석동,목
376752,2024-04-17,420,10,1573,방배4동,사당2동,수
886554,2024-04-18,1745,4,740,방배3동,방배3동,목
1090432,2024-04-19,850,12,1510,방배3동,방배본동,금
1246220,2024-04-19,1810,12,1214,방배4동,방배4동,금
89250,2024-04-15,2005,8,1010,방배4동,방배4동,월
1519171,2024-04-21,1325,73,3380,방배4동,방배4동,일
1195609,2024-04-19,1615,23,4139,방배본동,노량진1동,금
1302140,2024-04-19,2005,25,1110,방배4동,방배본동,금
1350435,2024-04-19,2305,15,1370,방배본동,사당1동,금
1673967,2024-04-21,2310,7,1079,방배본동,반포2동,일
235533,2024-04-16,1700,8,1614,방배3동,남현동,화
1106456,2024-04-19,945,5,550,방배1동,방배3동,금
1011780,2024-04-18,2315,60,4999,방배4동,도곡1동,목
1309653,2024-04-19,2030,120,1469,방배2동,방배2동,금
842756,2024-04-18,1540,16,1165,방배4동,방배4동,목
1249183,2024-04-19,1815,49,10240,방배4동,당산2동,금
1645480,2024-04-21,2040,9,1382,방배본동,방배4동,일
1319717,2024-04-19,2105,20,2901,방배본동,남현동,금
978548,2024-04-18,2110,18,2594,방배본동,사당3동,목
316455,2024-04-16,2010,29,4366,방배4동,반포1동,화
1127972,2024-04-19,1140,3,180,방배4동,방배2동,금
1412766,2024-04-20,1120,30,1709,방배4동,방배본동,토
1301289,2024-04-19,2005,120,1810,방배3동,방배2동,금
713234,2024-04-18,715,17,2730,방배4동,서초2동,목
14244,2024-04-15,530,6,1430,방배1동,방배본동,월
1471081,2024-04-21,935,6,399,방배4동,사당2동,일
1669977,2024-04-21,2240,29,4550,방배2동,반포3동,일
1620353,2024-04-21,1855,5,10,방배2동,방배3동,일
361192,2024-04-16,2325,62,9502,방배2동,방배2동,화
953097,2024-04-18,1950,8,1686,방배3동,방배본동,목
1378447,2024-04-20,345,15,3301,방배본동,반포3동,토
15669,2024-04-15,555,6,1570,방배본동,반포4동,월
1470031,2024-04-21,930,43,6176,방배본동,노량진1동,일
93176,2024-04-15,2025,4,581,방배4동,사당2동,월
216616,2024-04-16,1600,61,592,방배2동,방배4동,화
477691,2024-04-17,1230,39,4500,방배2동,흑석동,수
711676,2024-04-18,705,47,5503,방배4동,여의동,목
552875,2024-04-17,1725,7,1215,방배3동,방배4동,수
282675,2024-04-16,1840,10,1072,방배3동,사당2동,화
800958,2024-04-18,1220,5,1059,방배4동,사당1동,목
576270,2024-04-17,1810,48,8828,방배4동,사당2동,수
253929,2024-04-16,1745,7,959,방배본동,방배4동,화
188801,2024-04-16,1340,71,9018,방배본동,대학동,화
456811,2024-04-17,1040,20,2490,방배2동,사당2동,수
1408264,2024-04-20,950,2,770,방배4동,방배4동,토
871479,2024-04-18,1710,13,1640,방배4동,방배본동,목
437762,2024-04-17,905,13,757,방배4동,방배4동,수
77739,2024-04-15,1900,4,534,방배2동,방배3동,월
289477,2024-04-16,1855,50,7341,방배2동,서초4동,화
1640180,2024-04-21,2015,9,891,방배4동,방배본동,일
1323049,2024-04-19,2120,14,2291,방배본동,반포1동,금
785175,2024-04-18,1055,20,2032,방배2동,방배본동,목
1447518,2024-04-21,215,54,8793,방배2동,원효로2동,일
602911,2024-04-17,1855,4,668,방배본동,방배4동,수
601516,2024-04-17,1855,6,990,방배3동,방배3동,수
61720,2024-04-15,1730,8,1740,방배2동,사당3동,월
1180680,2024-04-19,1520,9,1223,방배2동,사당2동,금
1381691,2024-04-20,520,7,1535,방배4동,방배3동,토
1527731,2024-04-21,1355,4,638,방배4동,방배본동,일
1531998,2024-04-21,1410,57,4499,방배본동,방배본동,일
195995,2024-04-16,1420,4,671,방배2동,방배2동,화
541930,2024-04-17,1700,118,12788,방배본동,신사동,수
1077493,2024-04-19,830,7,1605,방배4동,반포2동,금
373871,2024-04-17,230,19,2587,방배3동,사당2동,수
1097484,2024-04-19,910,7,1132,방배4동,방배본동,금
805958,2024-04-18,1245,54,12294,방배본동,잠실2동,목
1517202,2024-04-21,1320,21,2382,방배4동,방배2동,일
751122,2024-04-18,840,4,920,방배3동,방배2동,목
1386628,2024-04-20,705,5,590,방배본동,방배4동,토
370208,2024-04-17,120,38,4576,방배본동,반포1동,수
1187359,2024-04-19,1545,14,1428,방배3동,방배3동,금
785176,2024-04-18,1055,13,2290,방배3동,방배4동,목
1193646,2024-04-19,1605,45,1900,방배4동,방배2동,금
15230,2024-04-15,545,6,617,방배4동,사당1동,월
1059643,2024-04-19,750,10,833,방배4동,방배4동,금
1404977,2024-04-20,930,3,474,방배1동,방배4동,토
342200,2024-04-16,2150,37,3524,방배본동,방배본동,화
818183,2024-04-18,1340,54,12294,방배본동,잠실2동,목
1677043,2024-04-21,2335,10,1000,방배4동,,일
878178,2024-04-18,1725,19,2610,방배1동,반포2동,목
832316,2024-04-18,1450,8,798,방배4동,방배4동,목
533494,2024-04-17,1630,5,995,방배3동,방배4동,수
888684,2024-04-18,1750,161,26715,방배본동,방배본동,목
1384499,2024-04-20,630,10,1031,방배4동,반포2동,토
1654356,2024-04-21,2120,7,890,방배2동,방배4동,일
269132,2024-04-16,1815,7,1550,방배4동,방배본동,화
1634208,2024-04-21,1950,3,630,방배2동,방배2동,일
673191,2024-04-17,2240,10,1458,방배4동,사당1동,수
1120569,2024-04-19,1100,4,631,방배2동,사당1동,금
1591243,2024-04-21,1720,3,733,방배2동,방배2동,일
19058,2024-04-15,630,35,7368,방배2동,흑석동,월
1021763,2024-04-19,50,12,1813,방배3동,방배본동,금
355207,2024-04-16,2245,70,14798,방배4동,망원1동,화
966285,2024-04-18,2030,3,640,방배2동,방배2동,목
224601,2024-04-16,1625,20,2100,방배4동,사당3동,화
1102885,2024-04-19,935,44,9279,방배4동,흑석동,금
1421681,2024-04-20,1355,26,3758,방배본동,서초4동,토
299197,2024-04-16,1920,7,1307,방배본동,반포본동,화
1040653,2024-04-19,640,8,1160,방배2동,방배2동,금
1454654,2024-04-21,605,9,1890,방배4동,방배2동,일
90144,2024-04-15,2010,14,1930,방배4동,사당1동,월
1345571,2024-04-19,2240,16,2975,방배3동,사당3동,금
909970,2024-04-18,1825,7,1067,방배4동,방배4동,목
1316774,2024-04-19,2055,86,10080,방배본동,방배본동,금
969415,2024-04-18,2040,6,920,방배본동,방배4동,목
19114,2024-04-15,630,4,650,방배2동,방배2동,월
594411,2024-04-17,1840,5,1032,방배본동,방배4동,수
906191,2024-04-18,1815,8,2290,방배3동,서초3동,목
1242539,2024-04-19,1805,40,9174,방배2동,가산동,금
594023,2024-04-17,1840,5,1330,방배본동,방배본동,수
1387587,2024-04-20,720,36,9880,방배4동,응봉동,토
582801,2024-04-17,1820,17,2130,방배3동,인헌동,수
1226463,2024-04-19,1735,16,1651,방배본동,방배3동,금
1462363,2024-04-21,825,3,360,방배4동,방배1동,일
787393,2024-04-18,1110,12,1556,방배본동,반포4동,목
1453139,2024-04-21,505,12,1327,방배2동,사당1동,일
657569,2024-04-17,2140,30,2007,방배2동,사당3동,수
123825,2024-04-16,5,8,1328,방배본동,방배4동,화
989759,2024-04-18,2145,20,1469,방배2동,,목
1252835,2024-04-19,1820,14,830,방배본동,방배4동,금
1537888,2024-04-21,1430,10,2190,방배2동,사당1동,일
1121805,2024-04-19,1110,23,4270,방배본동,반포2동,금
176500,2024-04-16,1235,68,16587,방배본동,방배본동,화
820979,2024-04-18,1355,53,1072,방배4동,방배본동,목
744207,2024-04-18,825,7,867,방배2동,방배4동,목
958808,2024-04-18,2005,14,2117,방배2동,방배본동,목
995207,2024-04-18,2205,11,1640,방배4동,방배2동,목
583147,2024-04-17,1820,5,698,방배본동,사당2동,수
395078,2024-04-17,730,5,1073,방배3동,방배4동,수
1417852,2024-04-20,1245,69,7546,방배본동,방배4동,토
1608267,2024-04-21,1815,5,1039,방배4동,방배본동,일
1618762,2024-04-21,1850,5,1055,방배3동,방배4동,일
581578,2024-04-17,1820,58,8150,방배본동,옥수동,수
1188076,2024-04-19,1550,8,914,방배3동,서초3동,금
707544,2024-04-18,640,5,1060,방배4동,방배4동,목
1103699,2024-04-19,935,49,1299,방배3동,방배4동,금
602466,2024-04-17,1855,2,385,방배4동,방배4동,수
1114424,2024-04-19,1030,44,1940,방배3동,방배4동,금
720113,2024-04-18,735,17,2730,방배4동,서초2동,목
1646538,2024-04-21,2045,6,795,방배본동,사당2동,일
251642,2024-04-16,1740,56,2692,방배4동,방배4동,화
1016574,2024-04-18,2350,30,570,방배4동,방배4동,목
1347557,2024-04-19,2250,4,581,방배본동,방배본동,금
1337314,2024-04-19,2210,32,5896,방배4동,상도2동,금
371364,2024-04-17,135,4,573,방배본동,방배4동,수
869359,2024-04-18,1705,13,1865,방배2동,방배본동,목
622113,2024-04-17,1940,10,1093,방배3동,사당2동,수
566832,2024-04-17,1755,11,2276,방배본동,남현동,수
963883,2024-04-18,2020,12,1930,방배4동,사당1동,목
245183,2024-04-16,1725,17,2266,방배4동,방배4동,화
189856,2024-04-16,1345,68,16587,방배본동,방배본동,화
279837,2024-04-16,1835,11,1513,방배2동,사당2동,화
696654,2024-04-18,300,3,790,방배2동,사당2동,목
319217,2024-04-16,2020,5,587,방배4동,사당2동,화
431375,2024-04-17,850,3,648,방배4동,방배본동,수
1157476,2024-04-19,1345,4,605,방배4동,방배4동,금
442923,2024-04-17,925,4,603,방배2동,방배2동,수
1292430,2024-04-19,1940,112,18150,방배3동,개봉1동,금
652109,2024-04-17,2120,13,1071,방배4동,방배본동,수
1373956,2024-04-20,225,12,1151,방배본동,반포4동,토
1541297,2024-04-21,1440,37,2746,방배본동,사당3동,일
656260,2024-04-17,2135,7,748,방배4동,방배4동,수
640332,2024-04-17,2040,28,4184,방배본동,낙성대동,수
1029579,2024-04-19,245,16,2380,방배본동,남현동,금
1404609,2024-04-20,930,15,540,방배4동,방배4동,토
1206545,2024-04-19,1645,31,5600,방배본동,잠원동,금
370675,2024-04-17,125,42,3020,방배3동,방배본동,수
877299,2024-04-18,1725,40,6324,방배4동,한강로동,목
1123777,2024-04-19,1120,3,514,방배4동,사당2동,금
1569461,2024-04-21,1610,9,1366,방배4동,방배2동,일
1475598,2024-04-21,1005,88,7150,방배4동,방배본동,일
1554184,2024-04-21,1525,5,610,방배4동,사당2동,일
1310447,2024-04-19,2035,54,10376,방배1동,응봉동,금
1527043,2024-04-21,1350,17,1730,방배4동,방배2동,일
432998,2024-04-17,850,3,648,방배4동,방배본동,수
1497170,2024-04-21,1200,122,24964,방배본동,자양3동,일
306508,2024-04-16,1940,29,4366,방배4동,반포1동,화
909384,2024-04-18,1820,9,2114,방배3동,남현동,목
1127271,2024-04-19,1135,23,4270,방배본동,반포2동,금
274264,2024-04-16,1825,22,3000,방배본동,서초3동,화
596242,2024-04-17,1845,53,12012,방배본동,양평2동,수
1528746,2024-04-21,1400,17,2167,방배2동,방배1동,일
81788,2024-04-15,1925,5,869,방배3동,방배3동,월
947779,2024-04-18,1935,38,6492,방배4동,노량진1동,목
161884,2024-04-16,1050,3,658,방배3동,방배3동,화
