,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일,구,면적
1363399,2024-04-20,40,32,640,서초2동,서초2동,토,서초구,1.24
783462,2024-04-18,1045,19,3870,서초2동,양재1동,목,서초구,1.24
1278336,2024-04-19,1905,116,4058,서초2동,대치2동,금,서초구,1.24
896507,2024-04-18,1805,16,3811,서초3동,양재2동,목,서초구,2.93
1150182,2024-04-19,1315,9,1012,서초2동,역삼1동,금,서초구,1.24
892245,2024-04-18,1755,19,4297,서초2동,양재1동,목,서초구,1.24
1252591,2024-04-19,1820,49,4591,서초2동,개포2동,금,서초구,1.24
552666,2024-04-17,1725,5,997,서초2동,역삼1동,수,서초구,1.24
91580,2024-04-15,2020,65,10195,서초2동,한강로동,월,서초구,1.24
816377,2024-04-18,1335,11,1730,서초1동,방배3동,목,서초구,1.42
176503,2024-04-16,1235,5,960,서초3동,서초3동,화,서초구,2.93
1418490,2024-04-20,1255,57,683,서초4동,서초4동,토,서초구,0.88
994641,2024-04-18,2205,11,1352,서초4동,서초1동,목,서초구,0.88
223583,2024-04-16,1625,5,985,서초2동,서초2동,화,서초구,1.24
370017,2024-04-17,115,8,1065,서초2동,서초3동,수,서초구,1.24
1525898,2024-04-21,1350,16,2435,서초2동,양재2동,일,서초구,1.24
1283159,2024-04-19,1915,8,986,서초2동,도곡1동,금,서초구,1.24
961381,2024-04-18,2015,7,1056,서초3동,서초3동,목,서초구,2.93
1544944,2024-04-21,1455,101,30,서초4동,서초4동,일,서초구,0.88
642403,2024-04-17,2045,53,884,서초2동,역삼1동,수,서초구,1.24
422195,2024-04-17,835,15,2003,서초4동,서초2동,수,서초구,0.88
230233,2024-04-16,1645,40,2362,서초2동,잠원동,화,서초구,1.24
770648,2024-04-18,940,21,3230,서초1동,개포4동,목,서초구,1.42
1096788,2024-04-19,910,5,821,서초2동,양재1동,금,서초구,1.24
986158,2024-04-18,2135,3,498,서초4동,서초4동,목,서초구,0.88
1674263,2024-04-21,2315,10,1630,서초3동,방배1동,일,서초구,2.93
810639,2024-04-18,1305,23,3100,서초2동,반포2동,목,서초구,1.24
1391877,2024-04-20,805,9,810,서초1동,서초3동,토,서초구,1.42
1092076,2024-04-19,855,4,439,서초4동,서초2동,금,서초구,0.88
1599229,2024-04-21,1745,33,1078,서초2동,역삼1동,일,서초구,1.24
1344849,2024-04-19,2240,14,2303,서초3동,반포1동,금,서초구,2.93
1375941,2024-04-20,255,18,3643,서초3동,도곡2동,토,서초구,2.93
624773,2024-04-17,1950,53,884,서초2동,역삼1동,수,서초구,1.24
1260051,2024-04-19,1830,15,2040,서초1동,논현1동,금,서초구,1.42
361171,2024-04-16,2325,4,1850,서초2동,서초2동,화,서초구,1.24
1286372,2024-04-19,1925,9,2060,서초1동,역삼1동,금,서초구,1.42
1233907,2024-04-19,1750,99,13943,서초3동,삼선동,금,서초구,2.93
342516,2024-04-16,2150,55,10031,서초2동,석촌동,화,서초구,1.24
827701,2024-04-18,1430,5,1170,서초4동,서초4동,목,서초구,0.88
647492,2024-04-17,2105,6,990,서초2동,서초2동,수,서초구,1.24
1290338,2024-04-19,1935,8,930,서초4동,반포1동,금,서초구,0.88
843483,2024-04-18,1545,21,2502,서초2동,서초1동,목,서초구,1.24
169950,2024-04-16,1150,20,2407,서초4동,반포3동,화,서초구,0.88
1109724,2024-04-19,1000,7,1014,서초4동,서초1동,금,서초구,0.88
1592374,2024-04-21,1725,23,3026,서초4동,반포4동,일,서초구,0.88
68499,2024-04-15,1820,10,1473,서초3동,양재1동,월,서초구,2.93
935029,2024-04-18,1905,32,2659,서초3동,양재1동,목,서초구,2.93
1153406,2024-04-19,1330,14,1880,서초4동,서초4동,금,서초구,0.88
537067,2024-04-17,1645,9,330,서초2동,서초2동,수,서초구,1.24
635096,2024-04-17,2020,145,1822,서초2동,서초2동,수,서초구,1.24
1433559,2024-04-20,2155,36,2184,서초2동,역삼1동,토,서초구,1.24
1425994,2024-04-20,1605,19,3153,서초4동,반포4동,토,서초구,0.88
680608,2024-04-17,2320,8,1725,서초4동,서초1동,수,서초구,0.88
962541,2024-04-18,2020,9,1130,서초3동,서초1동,목,서초구,2.93
1329474,2024-04-19,2145,14,1818,서초3동,서초3동,금,서초구,2.93
735521,2024-04-18,810,23,4276,서초2동,삼성1동,목,서초구,1.24
999966,2024-04-18,2220,60,3481,서초1동,서초4동,목,서초구,1.42
1226958,2024-04-19,1735,18,4482,서초2동,양재1동,금,서초구,1.24
996108,2024-04-18,2210,57,5424,서초4동,서초2동,목,서초구,0.88
490120,2024-04-17,1325,4,429,서초2동,,수,서초구,1.24
1676461,2024-04-21,2330,13,2411,서초2동,양재2동,일,서초구,1.24
411340,2024-04-17,810,5,922,서초1동,서초1동,수,서초구,1.42
1261869,2024-04-19,1835,25,4394,서초4동,사당2동,금,서초구,0.88
1420814,2024-04-20,1340,4,698,서초3동,서초3동,토,서초구,2.93
1133246,2024-04-19,1205,15,2014,서초2동,서초3동,금,서초구,1.24
1143358,2024-04-19,1250,14,1569,서초3동,반포4동,금,서초구,2.93
1346010,2024-04-19,2245,14,2790,서초2동,도곡2동,금,서초구,1.24
818963,2024-04-18,1345,11,1730,서초1동,방배3동,목,서초구,1.42
406,2024-04-15,5,28,4579,서초4동,방배본동,월,서초구,0.88
1591246,2024-04-21,1720,31,5990,서초4동,대치2동,일,서초구,0.88
1289258,2024-04-19,1930,68,12150,서초2동,여의동,금,서초구,1.24
1247377,2024-04-19,1810,4,1158,서초3동,서초3동,금,서초구,2.93
742559,2024-04-18,825,34,5851,서초3동,대치2동,목,서초구,2.93
1399129,2024-04-20,855,5,932,서초2동,서초2동,토,서초구,1.24
1295357,2024-04-19,1945,91,21789,서초3동,신내2동,금,서초구,2.93
868829,2024-04-18,1705,14,629,서초4동,서초4동,목,서초구,0.88
928826,2024-04-18,1855,17,3558,서초1동,도곡1동,목,서초구,1.42
579969,2024-04-17,1815,35,5719,서초3동,개포1동,수,서초구,2.93
418338,2024-04-17,825,26,3876,서초2동,내곡동,수,서초구,1.24
1671400,2024-04-21,2250,219,44609,서초2동,목1동,일,서초구,1.24
