,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
512056,2024-04-17,1510,20,4886,신림동,구로5동,수
943767,2024-04-18,1925,1,480,신림동,신사동,목
1285215,2024-04-19,1920,6,1154,신림동,은천동,금
871313,2024-04-18,1710,29,8690,신림동,목1동,목
1001228,2024-04-18,2225,10,1522,신림동,미성동,목
771,2024-04-15,10,10,1466,신림동,신사동,월
49400,2024-04-15,905,126,1289,신림동,신림동,월
3837,2024-04-15,45,6,911,신림동,서원동,월
1608111,2024-04-21,1810,6,852,신림동,신사동,일
664673,2024-04-17,2205,7,1373,신림동,조원동,수
86305,2024-04-15,1950,21,464,신림동,신림동,월
1505687,2024-04-21,1235,30,7319,신림동,영등포동,일
8755,2024-04-15,215,16,2494,신림동,서림동,월
876445,2024-04-18,1725,35,2936,신림동,대학동,목
754810,2024-04-18,845,4,621,신림동,보라매동,목
1324757,2024-04-19,2125,160,11894,신림동,신림동,금
1597743,2024-04-21,1740,46,2934,신림동,신림동,일
546418,2024-04-17,1710,79,29120,신림동,여의동,수
1529967,2024-04-21,1400,32,5453,신림동,구로4동,일
979461,2024-04-18,2110,66,7830,신림동,신림동,목
1004479,2024-04-18,2235,31,7070,신림동,문래동,목
233313,2024-04-16,1655,172,26387,신림동,양평2동,화
1147191,2024-04-19,1305,358,57211,신림동,여의동,금
165650,2024-04-16,1120,4,690,신림동,은천동,화
1289796,2024-04-19,1930,12,1663,신림동,청룡동,금
1458402,2024-04-21,735,3,492,신림동,신사동,일
1642946,2024-04-21,2030,36,2240,신림동,중앙동,일
1293963,2024-04-19,1945,9,573,신림동,신림동,금
610917,2024-04-17,1910,4,502,신림동,신사동,수
1671707,2024-04-21,2255,14,2120,신림동,삼성동,일
114934,2024-04-15,2235,4,410,신림동,은천동,월
1636020,2024-04-21,2000,9,1280,신림동,신사동,일
8828,2024-04-15,215,50,11138,신림동,목1동,월
104719,2024-04-15,2135,23,1452,신림동,신대방2동,월
1558090,2024-04-21,1535,20,2448,신림동,신길6동,일
1020171,2024-04-19,30,3,553,신림동,신사동,금
362937,2024-04-16,2340,9,2420,신림동,미성동,화
1211588,2024-04-19,1700,22,5647,신림동,구로5동,금
1130862,2024-04-19,1155,6,567,신림동,은천동,금
979460,2024-04-18,2110,91,10660,신림동,구로3동,목
472771,2024-04-17,1205,12,1220,신림동,신대방2동,수
425929,2024-04-17,840,5,637,신림동,신림동,수
1603444,2024-04-21,1800,4,622,신림동,청룡동,일
1379088,2024-04-20,400,46,2440,신림동,신사동,토
1101441,2024-04-19,925,36,8467,신림동,신림동,금
1366349,2024-04-20,105,15,2872,신림동,난향동,토
151625,2024-04-16,920,2,670,신림동,신사동,화
1371731,2024-04-20,200,18,748,신림동,은천동,토
90231,2024-04-15,2010,21,464,신림동,신림동,월
290738,2024-04-16,1855,46,5051,신림동,구로2동,화
223789,2024-04-16,1625,108,13966,신림동,신림동,화
1617762,2024-04-21,1845,7,771,신림동,신림동,일
1467846,2024-04-21,915,18,1769,신림동,서원동,일
1620334,2024-04-21,1855,3,494,신림동,신사동,일
756521,2024-04-18,850,18,3029,신림동,대림3동,목
682530,2024-04-17,2335,4,899,신림동,신사동,수
1554118,2024-04-21,1525,121,16210,신림동,보라매동,일
150095,2024-04-16,905,2,680,신림동,신사동,화
131796,2024-04-16,250,41,3054,신림동,독산4동,화
735496,2024-04-18,810,5,1169,신림동,신대방2동,목
1583086,2024-04-21,1655,24,4357,신림동,구로5동,일
1373648,2024-04-20,220,18,748,신림동,은천동,토
328152,2024-04-16,2055,44,8324,신림동,목1동,화
1536323,2024-04-21,1425,111,14890,신림동,서원동,일
1507512,2024-04-21,1240,3,478,신림동,신사동,일
1423813,2024-04-20,1435,42,9162,신림동,신림동,토
1507629,2024-04-21,1245,63,8417,신림동,신림동,일
1635331,2024-04-21,1955,19,2548,신림동,대학동,일
1031592,2024-04-19,345,8,1570,신림동,신사동,금
668998,2024-04-17,2220,8,1270,신림동,은천동,수
