,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
761880,2024-04-18,905,44,9481,여의동,목4동,목
1228505,2024-04-19,1735,46,2115,여의동,여의동,금
568848,2024-04-17,1800,10,1240,여의동,영등포동,수
552036,2024-04-17,1725,11,1870,여의동,영등포본동,수
622543,2024-04-17,1940,80,11944,여의동,영등포동,수
522792,2024-04-17,1555,48,9503,여의동,사당1동,수
309667,2024-04-16,1950,84,1056,여의동,여의동,화
1041290,2024-04-19,640,2,334,여의동,여의동,금
548266,2024-04-17,1715,17,2207,여의동,영등포동,수
1128455,2024-04-19,1140,6,537,여의동,여의동,금
238534,2024-04-16,1710,34,6537,여의동,노량진1동,화
476531,2024-04-17,1225,28,4480,여의동,여의동,수
1628235,2024-04-21,1925,8,1058,여의동,여의동,일
497253,2024-04-17,1400,107,11988,여의동,신수동,수
267999,2024-04-16,1815,31,6656,여의동,가양3동,화
283625,2024-04-16,1840,31,8512,여의동,반포3동,화
814211,2024-04-18,1320,9,1166,여의동,여의동,목
897452,2024-04-18,1805,63,11599,여의동,목1동,목
17598,2024-04-15,615,7,1129,여의동,여의동,월
1225906,2024-04-19,1730,10,1244,여의동,영등포동,금
1321364,2024-04-19,2110,80,4328,여의동,여의동,금
937225,2024-04-18,1910,76,1414,여의동,여의동,목
785130,2024-04-18,1055,49,7508,여의동,이태원1동,목
780061,2024-04-18,1025,10,1978,여의동,여의동,목
923024,2024-04-18,1845,35,5195,여의동,염창동,목
1020655,2024-04-19,35,5,1160,여의동,여의동,금
1502569,2024-04-21,1220,37,4399,여의동,영등포본동,일
201445,2024-04-16,1450,9,1420,여의동,여의동,화
1004959,2024-04-18,2240,20,3507,여의동,노량진1동,목
15971,2024-04-15,555,4,870,여의동,여의동,월
507344,2024-04-17,1450,124,983,여의동,여의동,수
388152,2024-04-17,700,3,739,여의동,여의동,수
473097,2024-04-17,1205,10,1414,여의동,여의동,수
1406008,2024-04-20,940,5,890,여의동,여의동,토
468900,2024-04-17,1145,4,557,여의동,여의동,수
1557925,2024-04-21,1535,71,8477,여의동,여의동,일
300584,2024-04-16,1920,15,1750,여의동,신길7동,화
524157,2024-04-17,1600,208,26565,여의동,여의동,수
239408,2024-04-16,1710,6,88,여의동,여의동,화
150570,2024-04-16,910,5,1199,여의동,여의동,화
1065139,2024-04-19,800,7,1010,여의동,여의동,금
1140618,2024-04-19,1235,20,2985,여의동,당산1동,금
893748,2024-04-18,1800,64,2730,여의동,서강동,목
455418,2024-04-17,1030,22,2420,여의동,영등포동,수
560025,2024-04-17,1740,48,2160,여의동,여의동,수
757758,2024-04-18,850,4,498,여의동,여의동,목
1289609,2024-04-19,1930,24,2739,여의동,대방동,금
527602,2024-04-17,1610,12,1064,여의동,여의동,수
138375,2024-04-16,650,59,10350,여의동,여의동,화
1224780,2024-04-19,1730,4,520,여의동,신길7동,금
1155691,2024-04-19,1340,10,1276,여의동,여의동,금
610772,2024-04-17,1910,76,24738,여의동,잠실4동,수
1280574,2024-04-19,1910,18,2320,여의동,여의동,금
604713,2024-04-17,1900,46,17900,여의동,이태원1동,수
289220,2024-04-16,1855,46,3153,여의동,당산2동,화
544386,2024-04-17,1705,9,1019,여의동,영등포동,수
1443728,2024-04-21,105,33,4275,여의동,흑석동,일
939455,2024-04-18,1915,59,14206,여의동,개봉1동,목
665426,2024-04-17,2205,22,2516,여의동,영등포본동,수
1518302,2024-04-21,1320,8,1478,여의동,신길7동,일
1429329,2024-04-20,1925,3,916,여의동,여의동,토
482769,2024-04-17,1250,4,570,여의동,여의동,수
835050,2024-04-18,1505,5,678,여의동,여의동,목
543268,2024-04-17,1700,4,370,여의동,여의동,수
1193483,2024-04-19,1605,4,800,여의동,여의동,금
1213426,2024-04-19,1705,22,3405,여의동,도림동,금
1489411,2024-04-21,1120,4,209,여의동,여의동,일
194877,2024-04-16,1415,9,1434,여의동,여의동,화
598442,2024-04-17,1845,19,3430,여의동,도화동,수
357730,2024-04-16,2300,32,2838,여의동,여의동,화
1243846,2024-04-19,1805,13,1704,여의동,여의동,금
74554,2024-04-15,1845,23,6066,여의동,염창동,월
815241,2024-04-18,1325,22,3150,여의동,여의동,목
201385,2024-04-16,1450,15,2199,여의동,여의동,화
268726,2024-04-16,1815,3,637,여의동,여의동,화
530772,2024-04-17,1620,19,2912,여의동,신길7동,수
886121,2024-04-18,1745,16,3256,여의동,신길7동,목
297639,2024-04-16,1915,82,210,여의동,여의동,화
783371,2024-04-18,1045,10,1240,여의동,여의동,목
402404,2024-04-17,750,4,820,여의동,여의동,수
1238385,2024-04-19,1755,25,2094,여의동,여의동,금
1122307,2024-04-19,1110,1,110,여의동,여의동,금
408879,2024-04-17,805,5,607,여의동,여의동,수
934962,2024-04-18,1905,69,19370,여의동,보문동,목
859445,2024-04-18,1635,26,4400,여의동,당산2동,목
1487960,2024-04-21,1115,16,1290,여의동,여의동,일
262999,2024-04-16,1805,39,7831,여의동,염창동,화
595542,2024-04-17,1840,12,1213,여의동,여의동,수
645326,2024-04-17,2055,16,2071,여의동,당산1동,수
1237305,2024-04-19,1755,4,284,여의동,여의동,금
580944,2024-04-17,1815,64,10290,여의동,등촌3동,수
1137326,2024-04-19,1220,39,3925,여의동,목5동,금
1585496,2024-04-21,1700,64,690,여의동,여의동,일
1617434,2024-04-21,1845,3,556,여의동,여의동,일
416733,2024-04-17,820,1,280,여의동,여의동,수
832312,2024-04-18,1450,4,532,여의동,신길7동,목
902673,2024-04-18,1810,7,1250,여의동,신길1동,목
1287069,2024-04-19,1925,34,2144,여의동,신길3동,금
1598411,2024-04-21,1740,59,8090,여의동,종로1·2·3·4가동,일
986645,2024-04-18,2135,22,2466,여의동,한강로동,목
128282,2024-04-16,110,4,540,여의동,여의동,화
1668427,2024-04-21,2230,16,2140,여의동,영등포동,일
599719,2024-04-17,1850,38,6912,여의동,염창동,수
818803,2024-04-18,1345,27,3870,여의동,영등포동,목
413388,2024-04-17,815,7,1240,여의동,여의동,수
733231,2024-04-18,805,5,650,여의동,여의동,목
196648,2024-04-16,1425,74,6197,여의동,여의동,화
1298049,2024-04-19,1955,34,7530,여의동,구로3동,금
1245334,2024-04-19,1805,16,1829,여의동,영등포동,금
93867,2024-04-15,2030,15,1342,여의동,영등포동,월
1173570,2024-04-19,1455,10,1426,여의동,여의동,금
49945,2024-04-15,1020,94,1328,여의동,여의동,월
364572,2024-04-17,5,2,351,여의동,여의동,수
1291838,2024-04-19,1935,12,2350,여의동,대방동,금
78134,2024-04-15,1905,15,1770,여의동,영등포동,월
1189594,2024-04-19,1555,101,15615,여의동,여의동,금
1509475,2024-04-21,1250,9,1150,여의동,영등포본동,일
332272,2024-04-16,2110,11,1491,여의동,문래동,화
739067,2024-04-18,815,5,1007,여의동,여의동,목
989732,2024-04-18,2145,6,1320,여의동,여의동,목
1147903,2024-04-19,1305,10,900,여의동,여의동,금
597588,2024-04-17,1845,20,3091,여의동,당산2동,수
359718,2024-04-16,2315,21,3970,여의동,노량진1동,화
390071,2024-04-17,710,4,439,여의동,여의동,수
72984,2024-04-15,1840,7,1028,여의동,여의동,월
467387,2024-04-17,1140,7,1024,여의동,여의동,수
532885,2024-04-17,1630,58,4559,여의동,여의동,수
472112,2024-04-17,1200,51,5612,여의동,여의동,수
918431,2024-04-18,1835,35,4833,여의동,공덕동,목
881674,2024-04-18,1735,8,799,여의동,신길7동,목
830065,2024-04-18,1440,26,1300,여의동,영등포동,목
464901,2024-04-17,1125,4,655,여의동,여의동,수
557705,2024-04-17,1735,12,2307,여의동,영등포본동,수
882771,2024-04-18,1735,13,1520,여의동,여의동,목
601065,2024-04-17,1850,53,13536,여의동,서초3동,수
253596,2024-04-16,1745,36,6170,여의동,목1동,화
838162,2024-04-18,1520,98,251,여의동,여의동,목
1564539,2024-04-21,1555,52,6153,여의동,여의동,일
1553164,2024-04-21,1520,1,530,여의동,여의동,일
641234,2024-04-17,2040,198,35975,여의동,잠실6동,수
1567010,2024-04-21,1605,183,16280,여의동,여의동,일
1461391,2024-04-21,815,12,2280,여의동,여의동,일
1495602,2024-04-21,1150,90,9649,여의동,영등포동,일
204305,2024-04-16,1505,98,11551,여의동,역촌동,화
326785,2024-04-16,2050,48,9951,여의동,등촌2동,화
949555,2024-04-18,1940,51,12590,여의동,대조동,목
540707,2024-04-17,1655,19,2180,여의동,영등포본동,수
1253678,2024-04-19,1820,24,4198,여의동,한강로동,금
763403,2024-04-18,910,54,6599,여의동,등촌1동,목
429761,2024-04-17,845,8,851,여의동,여의동,수
999799,2024-04-18,2220,46,15010,여의동,당산2동,목
476638,2024-04-17,1225,7,1146,여의동,여의동,수
113581,2024-04-15,2225,62,11951,여의동,목4동,월
1026117,2024-04-19,145,18,3130,여의동,영등포본동,금
1558815,2024-04-21,1540,59,2650,여의동,여의동,일
338639,2024-04-16,2135,5,616,여의동,영등포동,화
245763,2024-04-16,1730,27,4844,여의동,신길6동,화
920316,2024-04-18,1840,28,3671,여의동,한강로동,목
773347,2024-04-18,950,39,5320,여의동,목1동,목
308922,2024-04-16,1945,32,1233,여의동,여의동,화
794952,2024-04-18,1150,16,3641,여의동,이촌2동,목
1233445,2024-04-19,1745,23,3771,여의동,신길3동,금
481515,2024-04-17,1245,115,13338,여의동,여의동,수
537559,2024-04-17,1645,11,2010,여의동,영등포본동,수
1275544,2024-04-19,1900,97,90,여의동,여의동,금
1114990,2024-04-19,1030,9,1170,여의동,여의동,금
1538259,2024-04-21,1430,89,11891,여의동,여의동,일
478171,2024-04-17,1230,14,1950,여의동,여의동,수
506306,2024-04-17,1445,13,1752,여의동,여의동,수
529930,2024-04-17,1620,60,514,여의동,여의동,수
162638,2024-04-16,1055,25,6106,여의동,한강로동,화
152842,2024-04-16,930,2,640,여의동,여의동,화
1297216,2024-04-19,1950,29,3990,여의동,목5동,금
587978,2024-04-17,1830,9,1165,여의동,당산2동,수
775114,2024-04-18,955,31,6020,여의동,한강로동,목
1403426,2024-04-20,920,3,370,여의동,여의동,토
464507,2024-04-17,1125,30,1006,여의동,여의동,수
1229768,2024-04-19,1740,29,90,여의동,여의동,금
298807,2024-04-16,1915,51,9705,여의동,압구정동,화
788664,2024-04-18,1115,116,3372,여의동,여의동,목
1501997,2024-04-21,1220,36,1650,여의동,여의동,일
1151595,2024-04-19,1320,11,1020,여의동,여의동,금
1302775,2024-04-19,2010,78,13520,여의동,여의동,금
1141199,2024-04-19,1240,8,619,여의동,여의동,금
736527,2024-04-18,810,4,684,여의동,여의동,목
1346720,2024-04-19,2245,30,2816,여의동,신길7동,금
440329,2024-04-17,915,4,88,여의동,여의동,수
462359,2024-04-17,1110,15,2620,여의동,여의동,수
631880,2024-04-17,2010,134,10341,여의동,여의동,수
1311835,2024-04-19,2040,4,476,여의동,여의동,금
543101,2024-04-17,1700,51,2416,여의동,대방동,수
1665229,2024-04-21,2215,29,3603,여의동,신길3동,일
910872,2024-04-18,1825,85,11190,여의동,옥수동,목
1230956,2024-04-19,1740,6,958,여의동,여의동,금
37436,2024-04-15,745,6,991,여의동,여의동,월
700546,2024-04-18,520,4,874,여의동,신길7동,목
942601,2024-04-18,1925,30,3623,여의동,목5동,목
734255,2024-04-18,805,15,1811,여의동,여의동,목
203582,2024-04-16,1500,5,752,여의동,여의동,화
1386316,2024-04-20,700,5,142,여의동,신길7동,토
393754,2024-04-17,725,3,670,여의동,여의동,수
1258317,2024-04-19,1825,47,8182,여의동,당산2동,금
1148255,2024-04-19,1305,43,2532,여의동,여의동,금
784246,2024-04-18,1050,71,6990,여의동,여의동,목
208077,2024-04-16,1520,20,3230,여의동,원효로2동,화
1150514,2024-04-19,1315,4,720,여의동,여의동,금
575463,2024-04-17,1810,18,7920,여의동,당산2동,수
886238,2024-04-18,1745,27,3910,여의동,당산2동,목
1125577,2024-04-19,1130,86,9821,여의동,여의동,금
900262,2024-04-18,1810,17,1313,여의동,영등포동,목
544368,2024-04-17,1705,48,9889,여의동,등촌3동,수
803773,2024-04-18,1235,9,1726,여의동,여의동,목
1234343,2024-04-19,1750,14,1786,여의동,여의동,금
1469927,2024-04-21,930,1,142,여의동,여의동,일
892717,2024-04-18,1755,14,4080,여의동,영등포동,목
1074780,2024-04-19,820,6,1450,여의동,여의동,금
298814,2024-04-16,1915,30,2296,여의동,여의동,화
499098,2024-04-17,1410,47,9063,여의동,성산2동,수
1192920,2024-04-19,1605,6,1460,여의동,여의동,금
1571038,2024-04-21,1615,8,830,여의동,신길7동,일
1184129,2024-04-19,1535,81,9110,여의동,여의동,금
873280,2024-04-18,1715,27,5390,여의동,원효로1동,목
1618791,2024-04-21,1850,36,6540,여의동,후암동,일
1137916,2024-04-19,1225,14,2140,여의동,여의동,금
572732,2024-04-17,1805,105,707,여의동,여의동,수
458307,2024-04-17,1045,36,4842,여의동,공덕동,수
987415,2024-04-18,2140,83,13343,여의동,대림3동,목
193854,2024-04-16,1410,17,3380,여의동,도화동,화
1131105,2024-04-19,1155,34,1190,여의동,여의동,금
216936,2024-04-16,1600,14,1744,여의동,여의동,화
950461,2024-04-18,1945,19,3843,여의동,양평2동,목
525356,2024-04-17,1605,4,615,여의동,여의동,수
252419,2024-04-16,1745,12,1760,여의동,영등포동,화
143300,2024-04-16,800,36,6090,여의동,당산2동,화
196647,2024-04-16,1425,40,6560,여의동,연희동,화
994915,2024-04-18,2205,74,7090,여의동,여의동,목
1243847,2024-04-19,1805,12,2020,여의동,신길7동,금
430101,2024-04-17,845,8,1610,여의동,여의동,수
1591870,2024-04-21,1720,69,3636,여의동,영등포동,일
924230,2024-04-18,1845,9,1262,여의동,신길7동,목
552210,2024-04-17,1725,11,1953,여의동,영등포본동,수
95707,2024-04-15,2040,39,11512,여의동,옥수동,월
639847,2024-04-17,2035,21,7910,여의동,흑석동,수
515058,2024-04-17,1520,9,1096,여의동,대방동,수
324632,2024-04-16,2040,25,1486,여의동,여의동,화
61831,2024-04-15,1730,17,2025,여의동,신길1동,월
1225782,2024-04-19,1730,7,779,여의동,영등포동,금
1259711,2024-04-19,1830,47,13452,여의동,응봉동,금
734045,2024-04-18,805,2,284,여의동,여의동,목
331556,2024-04-16,2105,49,13410,여의동,개봉2동,화
1240306,2024-04-19,1800,78,12100,여의동,양평1동,금
1224465,2024-04-19,1730,63,15910,여의동,오류2동,금
637854,2024-04-17,2030,5,690,여의동,영등포동,수
990254,2024-04-18,2150,91,16990,여의동,당산2동,목
233106,2024-04-16,1655,55,5640,여의동,여의동,화
1184140,2024-04-19,1535,57,4502,여의동,신길7동,금
557440,2024-04-17,1735,28,4197,여의동,당산2동,수
1166564,2024-04-19,1430,116,13330,여의동,이촌2동,금
277163,2024-04-16,1830,70,11215,여의동,가양1동,화
1144423,2024-04-19,1250,31,4110,여의동,여의동,금
778798,2024-04-18,1015,5,634,여의동,여의동,목
399167,2024-04-17,740,5,940,여의동,여의동,수
1352796,2024-04-19,2315,8,1148,여의동,여의동,금
