,종,섬,부리_길이_mm,부리_깊이_mm,뒷다리_길이_mm,체중_g,성별
0,아델리,토르게르센,39.1,18.7,181.0,3750.0,수컷
1,아델리,토르게르센,39.5,17.4,186.0,3800.0,암컷
2,아델리,토르게르센,40.3,18.0,195.0,3250.0,암컷
3,아델리,토르게르센,,,,,
4,아델리,토르게르센,36.7,19.3,193.0,3450.0,암컷
5,아델리,토르게르센,39.3,20.6,190.0,3650.0,수컷
6,아델리,토르게르센,38.9,17.8,181.0,3625.0,암컷
7,아델리,토르게르센,39.2,19.6,195.0,4675.0,수컷
8,아델리,토르게르센,34.1,18.1,193.0,3475.0,
9,아델리,토르게르센,42.0,20.2,190.0,4250.0,
10,아델리,토르게르센,37.8,17.1,186.0,3300.0,
11,아델리,토르게르센,37.8,17.3,180.0,3700.0,
12,아델리,토르게르센,41.1,17.6,182.0,3200.0,암컷
13,아델리,토르게르센,38.6,21.2,191.0,3800.0,수컷
14,아델리,토르게르센,34.6,21.1,198.0,4400.0,수컷
15,아델리,토르게르센,36.6,17.8,185.0,3700.0,암컷
16,아델리,토르게르센,38.7,19.0,195.0,3450.0,암컷
17,아델리,토르게르센,42.5,20.7,197.0,4500.0,수컷
18,아델리,토르게르센,34.4,18.4,184.0,3325.0,암컷
19,아델리,토르게르센,46.0,21.5,194.0,4200.0,수컷
20,아델리,비스코,37.8,18.3,174.0,3400.0,암컷
21,아델리,비스코,37.7,18.7,180.0,3600.0,수컷
22,아델리,비스코,35.9,19.2,189.0,3800.0,암컷
23,아델리,비스코,38.2,18.1,185.0,3950.0,수컷
24,아델리,비스코,38.8,17.2,180.0,3800.0,수컷
25,아델리,비스코,35.3,18.9,187.0,3800.0,암컷
26,아델리,비스코,40.6,18.6,183.0,3550.0,수컷
27,아델리,비스코,40.5,17.9,187.0,3200.0,암컷
28,아델리,비스코,37.9,18.6,172.0,3150.0,암컷
29,아델리,비스코,40.5,18.9,180.0,3950.0,수컷
30,아델리,드림,39.5,16.7,178.0,3250.0,암컷
31,아델리,드림,37.2,18.1,178.0,3900.0,수컷
32,아델리,드림,39.5,17.8,188.0,3300.0,암컷
33,아델리,드림,40.9,18.9,184.0,3900.0,수컷
34,아델리,드림,36.4,17.0,195.0,3325.0,암컷
35,아델리,드림,39.2,21.1,196.0,4150.0,수컷
36,아델리,드림,38.8,20.0,190.0,3950.0,수컷
37,아델리,드림,42.2,18.5,180.0,3550.0,암컷
38,아델리,드림,37.6,19.3,181.0,3300.0,암컷
39,아델리,드림,39.8,19.1,184.0,4650.0,수컷
40,아델리,드림,36.5,18.0,182.0,3150.0,암컷
41,아델리,드림,40.8,18.4,195.0,3900.0,수컷
42,아델리,드림,36.0,18.5,186.0,3100.0,암컷
43,아델리,드림,44.1,19.7,196.0,4400.0,수컷
44,아델리,드림,37.0,16.9,185.0,3000.0,암컷
45,아델리,드림,39.6,18.8,190.0,4600.0,수컷
46,아델리,드림,41.1,19.0,182.0,3425.0,수컷
47,아델리,드림,37.5,18.9,179.0,2975.0,
48,아델리,드림,36.0,17.9,190.0,3450.0,암컷
49,아델리,드림,42.3,21.2,191.0,4150.0,수컷
50,아델리,비스코,39.6,17.7,186.0,3500.0,암컷
51,아델리,비스코,40.1,18.9,188.0,4300.0,수컷
