,userId,movieId,rating,title,year,tag,genre_Action,genre_Adventure,genre_Animation,genre_Children,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Fantasy,genre_Film-Noir,genre_Horror,genre_IMAX,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Thriller,genre_War,genre_Western
241,2,60756,5.0,Step Brothers (2008),2008,funny,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,2,60756,5.0,Step Brothers (2008),2008,Highly quotable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,2,60756,5.0,Step Brothers (2008),2008,will ferrell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2,89774,5.0,Warrior (2011),2011,Boxing story,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
253,2,89774,5.0,Warrior (2011),2011,MMA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254,2,89774,5.0,Warrior (2011),2011,Tom Hardy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
258,2,106782,5.0,"Wolf of Wall Street, The (2013)",2013,drugs,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
259,2,106782,5.0,"Wolf of Wall Street, The (2013)",2013,Leonardo DiCaprio,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
260,2,106782,5.0,"Wolf of Wall Street, The (2013)",2013,Martin Scorsese,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1025,7,48516,1.0,"Departed, The (2006)",2006,way too long,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2008,18,5995,4.5,"Pianist, The (2002)",2002,holocaust,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2009,18,5995,4.5,"Pianist, The (2002)",2002,true story,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2087,18,44665,4.5,Lucky Number Slevin (2006),2006,twist ending,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2103,18,52604,4.5,Fracture (2007),2007,Anthony Hopkins,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
