,기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리,시작_동,시작_시간대,종료_시간대,요일,종료_동
276,2024-04-19,출발시간,0,ST-753,방배2동_039_1,ST-322,원효로2동_007_1,1,44,8090,방배2동,0,1,금,원효로2동
277,2024-04-19,출발시간,0,ST-753,방배2동_039_1,ST-729,사당1동_009_1,1,1,0,방배2동,0,1,금,사당1동
278,2024-04-19,출발시간,0,ST-758,방배4동_004_1,ST-1915,방배본동_026_1,1,5,893,방배4동,0,1,금,방배본동
334,2024-04-19,도착시간,0,ST-753,방배2동_039_1,ST-729,사당1동_009_1,1,1,0,방배2동,0,1,금,사당1동
404,2024-04-19,출발시간,5,ST-1557,방배3동_008_1,ST-753,방배2동_039_1,1,34,5400,방배3동,0,1,금,방배2동
602,2024-04-19,출발시간,5,ST-760,방배4동_011_1,ST-732,사당3동_029_1,1,8,1240,방배4동,0,1,금,사당3동
856,2024-04-19,출발시간,10,ST-1915,방배본동_026_1,ST-2649,상도2동_008_1,1,47,10702,방배본동,0,1,금,상도2동
1064,2024-04-19,출발시간,10,ST-935,방배4동_002_1,ST-949,방배본동_011_1,1,4,696,방배4동,0,1,금,방배본동
1239,2024-04-19,도착시간,10,ST-758,방배4동_004_1,ST-1915,방배본동_026_1,1,5,893,방배4동,0,1,금,방배본동
1342,2024-04-19,출발시간,15,ST-1915,방배본동_026_1,ST-757,방배4동_026_2,1,3,1085,방배본동,0,1,금,방배4동
1593,2024-04-19,도착시간,15,ST-1915,방배본동_026_1,ST-757,방배4동_026_2,1,3,1085,방배본동,0,1,금,방배4동
1703,2024-04-19,도착시간,15,ST-760,방배4동_011_1,ST-732,사당3동_029_1,1,8,1240,방배4동,0,1,금,사당3동
1722,2024-04-19,도착시간,15,ST-935,방배4동_002_1,ST-949,방배본동_011_1,1,4,696,방배4동,0,1,금,방배본동
1785,2024-04-19,출발시간,20,ST-1739,방배2동_005_1,ST-949,방배본동_011_1,1,13,1260,방배2동,0,1,금,방배본동
1950,2024-04-19,출발시간,20,ST-758,방배4동_004_1,ST-2948,남현동_002_1,1,9,1454,방배4동,0,1,금,남현동
1951,2024-04-19,출발시간,20,ST-759,방배4동_022_1,ST-1152,사당3동_024_1,1,9,1320,방배4동,0,1,금,사당3동
1952,2024-04-19,출발시간,20,ST-760,방배4동_011_1,ST-753,방배2동_039_1,1,8,840,방배4동,0,1,금,방배2동
2431,2024-04-19,출발시간,25,ST-758,방배4동_004_1,ST-1163,방배4동_043_1,1,7,694,방배4동,0,1,금,방배4동
2643,2024-04-19,도착시간,25,ST-758,방배4동_004_1,ST-2948,남현동_002_1,1,9,1454,방배4동,0,1,금,남현동
2687,2024-04-19,출발시간,30,ST-1163,방배4동_043_1,ST-928,반포2동_043_3,2,124,11360,방배4동,0,1,금,반포2동
2896,2024-04-19,출발시간,30,ST-753,방배2동_039_1,ST-1152,사당3동_024_1,1,9,1630,방배2동,0,1,금,사당3동
2897,2024-04-19,출발시간,30,ST-753,방배2동_039_1,ST-2359,사당3동_005_1,1,8,1480,방배2동,0,1,금,사당3동
2898,2024-04-19,출발시간,30,ST-757,방배4동_026_2,ST-758,방배4동_004_1,1,3,514,방배4동,0,1,금,방배4동
2899,2024-04-19,출발시간,30,ST-758,방배4동_004_1,ST-935,방배4동_002_1,1,2,450,방배4동,0,1,금,방배4동
2900,2024-04-19,출발시간,30,ST-760,방배4동_011_1,ST-949,방배본동_011_1,1,5,991,방배4동,0,1,금,방배본동
2924,2024-04-19,출발시간,30,ST-949,방배본동_011_1,ST-949,방배본동_011_1,1,10,0,방배본동,0,1,금,방배본동
3143,2024-04-19,도착시간,30,ST-758,방배4동_004_1,ST-935,방배4동_002_1,1,2,450,방배4동,0,1,금,방배4동
3144,2024-04-19,도착시간,30,ST-759,방배4동_022_1,ST-1152,사당3동_024_1,1,9,1320,방배4동,0,1,금,사당3동
3145,2024-04-19,도착시간,30,ST-760,방배4동_011_1,ST-753,방배2동_039_1,1,8,840,방배4동,0,1,금,방배2동
3372,2024-04-19,출발시간,35,ST-753,방배2동_039_1,ST-729,사당1동_009_1,1,29,1170,방배2동,0,1,금,사당1동
3373,2024-04-19,출발시간,35,ST-760,방배4동_011_1,ST-949,방배본동_011_1,1,5,920,방배4동,0,1,금,방배본동
3473,2024-04-19,도착시간,35,ST-1739,방배2동_005_1,ST-949,방배본동_011_1,1,13,1260,방배2동,0,1,금,방배본동
3625,2024-04-19,도착시간,35,ST-757,방배4동_026_2,ST-758,방배4동_004_1,1,3,514,방배4동,0,1,금,방배4동
3626,2024-04-19,도착시간,35,ST-758,방배4동_004_1,ST-1163,방배4동_043_1,1,7,694,방배4동,0,1,금,방배4동
3627,2024-04-19,도착시간,35,ST-760,방배4동_011_1,ST-949,방배본동_011_1,1,5,991,방배4동,0,1,금,방배본동
3898,2024-04-19,출발시간,40,ST-935,방배4동_002_1,ST-2225,동선동_012_1,1,81,17892,방배4동,0,1,금,동선동
3899,2024-04-19,출발시간,40,ST-935,방배4동_002_1,ST-935,방배4동_002_1,1,1,0,방배4동,0,1,금,방배4동
3955,2024-04-19,도착시간,40,ST-1557,방배3동_008_1,ST-753,방배2동_039_1,1,34,5400,방배3동,0,1,금,방배2동
4129,2024-04-19,도착시간,40,ST-753,방배2동_039_1,ST-1152,사당3동_024_1,1,9,1630,방배2동,0,1,금,사당3동
4130,2024-04-19,도착시간,40,ST-753,방배2동_039_1,ST-2359,사당3동_005_1,1,8,1480,방배2동,0,1,금,사당3동
4131,2024-04-19,도착시간,40,ST-760,방배4동_011_1,ST-949,방배본동_011_1,1,5,920,방배4동,0,1,금,방배본동
4152,2024-04-19,도착시간,40,ST-935,방배4동_002_1,ST-935,방배4동_002_1,1,1,0,방배4동,0,1,금,방배4동
4188,2024-04-19,출발시간,45,ST-1307,방배3동_009_1,ST-1557,방배3동_008_1,1,7,602,방배3동,0,1,금,방배3동
4221,2024-04-19,출발시간,45,ST-1914,방배4동_026_1,ST-1916,방배본동_030_1,1,2,450,방배4동,0,1,금,방배본동
4319,2024-04-19,출발시간,45,ST-3086,방배본동_015_1,ST-3072,여의동_005_4,1,56,12760,방배본동,0,1,금,여의동
