,기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리,시작_동,종료_동,시작_시간대,종료_시간대,요일,구,면적,구성비,거리로그변환,로그_이용_거리
35,2024-04-15,출발시간,0,ST-1270,신림동_030_1,ST-1270,신림동_030_1,2,199,19365,신림동,신림동,0,1,월,관악구,0.54,0.09,9.871222591948852,9.871325865727732
269,2024-04-15,출발시간,0,ST-702,신림동_029_1,ST-2851,신사동_015_1,1,2,528,신림동,신사동,0,1,월,관악구,0.54,0.09,6.269096283706261,6.272877006546167
270,2024-04-15,출발시간,0,ST-702,신림동_029_1,ST-951,서림동_018_1,1,13,2950,신림동,서림동,0,1,월,관악구,0.54,0.09,7.989560449333865,7.990238185720363
602,2024-04-15,출발시간,5,ST-702,신림동_029_1,ST-1542,신대방1동_013_1,1,12,4320,신림동,신대방1동,0,1,월,관악구,0.54,0.09,8.371010681238156,8.371473537066832
603,2024-04-15,출발시간,5,ST-702,신림동_029_1,ST-2653,신대방1동_039_1,2,32,4626,신림동,신대방1동,0,1,월,관악구,0.54,0.09,8.439447842791385,8.439880088313567
604,2024-04-15,출발시간,5,ST-702,신림동_029_1,ST-702,신림동_029_1,1,2,1,신림동,신림동,0,1,월,관악구,0.54,0.09,0.0,1.0986122886681098
728,2024-04-15,도착시간,5,ST-702,신림동_029_1,ST-2851,신사동_015_1,1,2,528,신림동,신사동,0,1,월,관악구,0.54,0.09,6.269096283706261,6.272877006546167
729,2024-04-15,도착시간,5,ST-702,신림동_029_1,ST-702,신림동_029_1,1,2,1,신림동,신림동,0,1,월,관악구,0.54,0.09,0.0,1.0986122886681098
771,2024-04-15,출발시간,10,ST-1270,신림동_030_1,ST-1357,신사동_012_1,1,10,1466,신림동,신사동,0,1,월,관악구,0.54,0.09,7.290292882446597,7.291656209174461
1194,2024-04-15,도착시간,10,ST-702,신림동_029_1,ST-951,서림동_018_1,1,13,2950,신림동,서림동,0,1,월,관악구,0.54,0.09,7.989560449333865,7.990238185720363
1900,2024-04-15,도착시간,20,ST-1270,신림동_030_1,ST-1357,신사동_012_1,1,10,1466,신림동,신사동,0,1,월,관악구,0.54,0.09,7.290292882446597,7.291656209174461
2049,2024-04-15,도착시간,20,ST-702,신림동_029_1,ST-1542,신대방1동_013_1,1,12,4320,신림동,신대방1동,0,1,월,관악구,0.54,0.09,8.371010681238156,8.371473537066832
2050,2024-04-15,도착시간,20,ST-702,신림동_029_1,ST-2653,신대방1동_039_1,2,32,4626,신림동,신대방1동,0,1,월,관악구,0.54,0.09,8.439447842791385,8.439880088313567
2697,2024-04-15,출발시간,30,ST-702,신림동_029_1,ST-2996,신사동_020_1,1,4,744,신림동,신사동,0,1,월,관악구,0.54,0.09,6.612041034833092,6.61472560020376
