,기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리,시작_동,종료_동,시작_시간대,종료_시간대,요일
420819,2024-04-21,출발시간,0,ST-63,여의동_045_1,ST-71,여의동_050_1,1,5,460,여의동,여의동,0,1,일
421066,2024-04-21,출발시간,5,ST-71,여의동_050_1,ST-2350,노량진1동_010_1,1,29,5410,여의동,노량진1동,0,1,일
421140,2024-04-21,도착시간,5,ST-63,여의동_045_1,ST-71,여의동_050_1,1,5,460,여의동,여의동,0,1,일
421318,2024-04-21,출발시간,10,ST-52,여의동_001_6,ST-1970,여의동_003_3,1,5,825,여의동,여의동,0,1,일
421327,2024-04-21,출발시간,10,ST-62,여의동_017_1,ST-307,신길7동_001_2,1,8,2414,여의동,신길7동,0,1,일
421331,2024-04-21,출발시간,10,ST-73,여의동_009_1,ST-73,여의동_009_1,1,59,5333,여의동,여의동,0,1,일
421633,2024-04-21,출발시간,15,ST-47,여의동_001_4,ST-297,여의동_004_1,1,5,1292,여의동,여의동,0,1,일
421653,2024-04-21,출발시간,15,ST-62,여의동_017_1,ST-520,가양3동_011_3,1,46,9195,여의동,가양3동,0,1,일
421657,2024-04-21,출발시간,15,ST-73,여의동_009_1,ST-73,여의동_009_1,1,57,4990,여의동,여의동,0,1,일
421806,2024-04-21,도착시간,15,ST-52,여의동_001_6,ST-1970,여의동_003_3,1,5,825,여의동,여의동,0,1,일
421955,2024-04-21,출발시간,20,ST-63,여의동_045_1,ST-307,신길7동_001_2,1,5,1022,여의동,신길7동,0,1,일
422097,2024-04-21,도착시간,20,ST-47,여의동_001_4,ST-297,여의동_004_1,1,5,1292,여의동,여의동,0,1,일
422112,2024-04-21,도착시간,20,ST-62,여의동_017_1,ST-307,신길7동_001_2,1,8,2414,여의동,신길7동,0,1,일
422420,2024-04-21,도착시간,25,ST-63,여의동_045_1,ST-307,신길7동_001_2,1,5,1022,여의동,신길7동,0,1,일
422575,2024-04-21,출발시간,30,ST-3072,여의동_005_4,ST-3106,흑석동_027_1,1,33,4275,여의동,흑석동,0,1,일
422905,2024-04-21,출발시간,35,ST-53,여의동_034_2,ST-1150,노량진1동_041_1,1,34,5360,여의동,노량진1동,0,1,일
423073,2024-04-21,도착시간,35,ST-71,여의동_050_1,ST-2350,노량진1동_010_1,1,29,5410,여의동,노량진1동,0,1,일
423221,2024-04-21,출발시간,40,ST-70,여의동_016_1,ST-3160,여의동_026_1,1,5,672,여의동,여의동,0,1,일
423223,2024-04-21,출발시간,40,ST-73,여의동_009_1,ST-1188,북아현동_001_1,1,51,5200,여의동,북아현동,0,1,일
423686,2024-04-21,도착시간,45,ST-70,여의동_016_1,ST-3160,여의동_026_1,1,5,672,여의동,여의동,0,1,일
423837,2024-04-21,출발시간,50,ST-52,여의동_001_6,ST-1653,영등포동_001_1,1,9,1500,여의동,영등포동,0,1,일
423846,2024-04-21,출발시간,50,ST-73,여의동_009_1,ST-1188,북아현동_001_1,1,43,4932,여의동,북아현동,0,1,일
424120,2024-04-21,출발시간,55,ST-3239,여의동_005_7,ST-3072,여의동_005_4,1,6,640,여의동,여의동,0,0,일
424421,2024-04-21,출발시간,100,ST-2648,여의동_003_10,ST-2975,서강동_006_1,1,16,2791,여의동,서강동,1,2,일
424443,2024-04-21,출발시간,100,ST-3073,여의동_005_5,ST-1970,여의동_003_3,1,11,1412,여의동,여의동,1,2,일
424486,2024-04-21,출발시간,100,ST-73,여의동_009_1,ST-3062,연희동_047_2,1,40,5802,여의동,연희동,1,2,일
424613,2024-04-21,도착시간,100,ST-3239,여의동_005_7,ST-3072,여의동_005_4,1,6,640,여의동,여의동,1,2,일
424633,2024-04-21,도착시간,100,ST-52,여의동_001_6,ST-1653,영등포동_001_1,1,9,1500,여의동,영등포동,1,2,일
424640,2024-04-21,도착시간,100,ST-62,여의동_017_1,ST-520,가양3동_011_3,1,46,9195,여의동,가양3동,1,2,일
424908,2024-04-21,도착시간,105,ST-3072,여의동_005_4,ST-3106,흑석동_027_1,1,33,4275,여의동,흑석동,1,2,일
424940,2024-04-21,도착시간,105,ST-53,여의동_034_2,ST-1150,노량진1동_041_1,1,34,5360,여의동,노량진1동,1,2,일
425203,2024-04-21,도착시간,110,ST-3073,여의동_005_5,ST-1970,여의동_003_3,1,11,1412,여의동,여의동,1,2,일
425246,2024-04-21,도착시간,110,ST-73,여의동_009_1,ST-73,여의동_009_1,2,116,10324,여의동,여의동,1,2,일
425380,2024-04-21,출발시간,115,ST-55,여의동_005_10,ST-454,대조동_024_1,1,77,15254,여의동,대조동,1,2,일
425482,2024-04-21,도착시간,115,ST-2648,여의동_003_10,ST-2975,서강동_006_1,1,16,2791,여의동,서강동,1,2,일
425712,2024-04-21,출발시간,120,ST-72,여의동_005_15,ST-1321,영등포동_036_1,1,13,2094,여의동,영등포동,1,2,일
425908,2024-04-21,출발시간,125,ST-1969,여의동_003_2,ST-206,용강동_021_1,2,89,8775,여의동,용강동,1,2,일
426286,2024-04-21,출발시간,130,ST-70,여의동_016_1,ST-920,개봉1동_051_3,1,45,7108,여의동,개봉1동,1,2,일
426448,2024-04-21,도착시간,130,ST-73,여의동_009_1,ST-1188,북아현동_001_1,2,94,10132,여의동,북아현동,1,2,일
426737,2024-04-21,도착시간,135,ST-72,여의동_005_15,ST-1321,영등포동_036_1,1,13,2094,여의동,영등포동,1,2,일
427129,2024-04-21,출발시간,145,ST-63,여의동_045_1,ST-60,여의동_036_4,1,6,803,여의동,여의동,1,2,일
427130,2024-04-21,출발시간,145,ST-66,여의동_005_14,ST-693,흑석동_059_2,1,23,4540,여의동,흑석동,1,2,일
427264,2024-04-21,도착시간,145,ST-73,여의동_009_1,ST-3062,연희동_047_2,1,40,5802,여의동,연희동,1,2,일
427506,2024-04-21,도착시간,150,ST-63,여의동_045_1,ST-60,여의동_036_4,1,6,803,여의동,여의동,1,2,일
